PeakID (cmd=annotatePeaks.pl loss_I315IvI315X.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
195	chr11	93820051	93820550	+	0	NA	3' UTR (NM_001144871, exon 4 of 4)	3' UTR (NM_001144871, exon 4 of 4)	30318	NM_001144871	387804	Hs.512252	NM_001144871	ENSG00000214376	VSTM5	C11orf90	V-set and transmembrane domain containing 5	protein-coding
31	chr8	126501710	126502209	+	0	NA	Intergenic	THE1C|LTR|ERVL-MaLR	56519	NR_156466	157638	Hs.124951	NM_174911	ENSG00000168672	LRATD2	BCMP101|FAM84B|NSE2	LRAT domain containing 2	protein-coding
728	chr19	27813605	27814104	+	0	NA	intron (NR_146736, intron 2 of 2)	intron (NR_146736, intron 2 of 2)	-19914	NR_027301	148189	Hs.706547	NR_027301	ENSG00000261824	LINC00662	-	long intergenic non-protein coding RNA 662	ncRNA
552	chr7	45910328	45910827	+	0	NA	Intergenic	Intergenic	10695	NM_000598	3486	Hs.450230	NM_000598	ENSG00000146674	IGFBP3	BP-53|IBP3	insulin like growth factor binding protein 3	protein-coding
811	chr1	210011193	210011692	+	0	NA	intron (NM_001146261, intron 3 of 9)	intron (NM_001146261, intron 3 of 9)	73225	NM_001146262	255928	Hs.658866	NM_153262	ENSG00000143469	SYT14	SCAR11|sytXIV	synaptotagmin 14	protein-coding
892	chr22	22256865	22257364	+	0	NA	Intergenic	Intergenic	12328	NM_007128	7441	Hs.247979	NM_007128	ENSG00000169575	VPREB1	CD179a|IGI|IGVPB|VPREB	V-set pre-B cell surrogate light chain 1	protein-coding
481	chr9	129581669	129582168	+	0	NA	Intergenic	MLT1I|LTR|ERVL-MaLR	-26966	NM_001286796	28989	Hs.744027	NM_014064	ENSG00000148335	NTMT1	AD-003|C9orf32|HOMT1A|METTL11A|NRMT|NRMT1|NTM1A	N-terminal Xaa-Pro-Lys N-methyltransferase 1	protein-coding
688	chr1	51276823	51277322	+	0	NA	Intergenic	Intergenic	20889	NM_001297667	22996	Hs.112949	NM_001080494	ENSG00000085831	TTC39A	C1orf34|DEME-6	tetratricopeptide repeat domain 39A	protein-coding
871	chr9	35917349	35917848	+	0	NA	Intergenic	Intergenic	8108	NM_001348107	158376	Hs.302677	NM_001348107	ENSG00000235387	SPAAR	LINC00961|SPAR	small regulatory polypeptide of amino acid response	protein-coding
37	chr11	8846009	8846508	+	0	NA	intron (NM_005418, intron 2 of 22)	intron (NM_005418, intron 2 of 22)	-34923	NM_139157	6764	Hs.117715	NM_005418	ENSG00000166444	ST5	DENND2B|HTS1|p126	suppression of tumorigenicity 5	protein-coding
1103	chr5	92729068	92729567	+	0	NA	Intergenic	MER1B|DNA|hAT-Charlie	842026	NR_109825	441094	Hs.457407	NR_015369	ENSG00000237187	NR2F1-AS1	-	NR2F1 antisense RNA 1	ncRNA
1228	chr7	148706234	148706733	+	0	NA	intron (NM_001370664, intron 1 of 21)	intron (NM_001370664, intron 1 of 21)	6773	NM_001370664	8454	Hs.146806	NM_003592	ENSG00000055130	CUL1	-	cullin 1	protein-coding
1192	chr6	158901221	158901720	+	0	NA	intron (NR_160979, intron 2 of 2)	L1M1|LINE|L1	12993	NR_160979	100130967	Hs.32804	NM_001195032		C6orf99	-	chromosome 6 open reading frame 99	ncRNA
927	chr7	65723407	65723906	+	0	NA	intron (NR_103527, intron 3 of 3)	L2|LINE|L2	27268	NR_103527	441242	Hs.373941	NM_001013464	ENSG00000272693	LOC441242	-	uncharacterized LOC441242	ncRNA
24	chr16	28534303	28534802	+	0	NA	3' UTR (NM_012385, exon 3 of 3)	3' UTR (NM_012385, exon 3 of 3)	4422	NM_001042483	26471	Hs.513463	NM_012385	ENSG00000176046	NUPR1	COM1|P8	nuclear protein 1, transcriptional regulator	protein-coding
993	chr8	80782823	80783322	+	0	NA	intron (NM_001033723, intron 2 of 8)	MamRep605|LTR?|LTR?	91396	NM_001367783	619279	Hs.434957	NM_032651	ENSG00000164684	ZNF704	Gig1	zinc finger protein 704	protein-coding
664	chr20	41398076	41398575	+	0	NA	Intergenic	Intergenic	-31507	NM_052846	90187	Hs.726525	NM_052846	ENSG00000183798	EMILIN3	C20orf130|EMILIN5|dJ620E11.4	elastin microfibril interfacer 3	protein-coding
409	chr2	43135821	43136320	+	0	NA	Intergenic	Intergenic	-33625	NR_151714	100506047	Hs.127112	NR_151714		LINC02580	-	long intergenic non-protein coding RNA 2580	ncRNA
555	chr5	142411893	142412392	+	0	NA	intron (NR_120664, intron 3 of 3)	intron (NR_120664, intron 3 of 3)	86849	NR_120664	101926941	Hs.658945	NR_120664	ENSG00000231185	SPRY4-AS1	THCAT68	SPRY4 antisense RNA 1	ncRNA
190	chr3	48573909	48574408	+	0	NA	intron (NM_000094, intron 79 of 117)	(CACAGA)n|Simple_repeat|Simple_repeat	4819	NR_031756	100313843		NR_031756	ENSG00000284251	MIR711	hsa-mir-711	microRNA 711	ncRNA
1235	chr15	44441034	44441533	+	0	NA	intron (NM_016396, intron 1 of 12)	L1MCc|LINE|L1	13654	NM_016396	51496	Hs.497967	NM_016396	ENSG00000137770	CTDSPL2	HSPC058|HSPC129	CTD small phosphatase like 2	protein-coding
895	chr9	111674105	111674604	+	0	NA	Intergenic	MLT1J1-int|LTR|ERVL-MaLR	12749	NM_001017998	2790	Hs.534196	NM_001017998	ENSG00000242616	GNG10	-	G protein subunit gamma 10	protein-coding
936	chr1	161444168	161444667	+	0	NA	Intergenic	CpG	-61040	NM_001136219	2212	Hs.352642	NM_021642	ENSG00000143226	FCGR2A	CD32|CD32A|CDw32|FCG2|FCGR2|FCGR2A1|FcGR|IGFR2	Fc fragment of IgG receptor IIa	protein-coding
330	chr12	49479258	49479757	+	0	NA	intron (NM_001293285, intron 4 of 14)	MER52C|LTR|ERV1	-59523	NM_012284	23416	Hs.64064	NM_012284	ENSG00000135519	KCNH3	BEC1|ELK2|Kv12.2	potassium voltage-gated channel subfamily H member 3	protein-coding
702	chr11	108101256	108101755	+	0	NA	intron (NM_003478, intron 18 of 18)	intron (NM_003478, intron 18 of 18)	-20062	NM_000019	38	Hs.232375	NM_000019	ENSG00000075239	ACAT1	ACAT|MAT|T2|THIL	acetyl-CoA acetyltransferase 1	protein-coding
1184	chr11	84760531	84761030	+	0	NA	intron (NM_001351274, intron 5 of 26)	LTR1B1|LTR|ERV1	-39838	NM_001351276	1740	Hs.367656	NM_001364	ENSG00000150672	DLG2	PPP1R58|PSD-93|PSD93|chapsyn-110	discs large MAGUK scaffold protein 2	protein-coding
386	chr2	42464495	42464994	+	0	NA	intron (NM_172344, intron 1 of 1)	L2c|LINE|L2	29238	NM_133329	170850	Hs.352633	NM_133329	ENSG00000171126	KCNG3	KV10.1|KV6.3	potassium voltage-gated channel modifier subfamily G member 3	protein-coding
524	chr8	80720638	80721137	+	0	NA	intron (NM_001033723, intron 2 of 8)	intron (NM_001033723, intron 2 of 8)	153581	NM_001367783	619279	Hs.434957	NM_032651	ENSG00000164684	ZNF704	Gig1	zinc finger protein 704	protein-coding
980	chr5	150569155	150569654	+	0	NA	Intergenic	Intergenic	-31672	NM_001166208	11346	Hs.435228	NM_007286	ENSG00000171992	SYNPO	-	synaptopodin	protein-coding
631	chr15	58690650	58691149	+	0	NA	non-coding (NR_073415, exon 1 of 1)	non-coding (NR_073415, exon 1 of 1)	2708	NR_073415	664618	Hs.670224	NR_002927		HSP90AB4P	HSP90Bd	heat shock protein 90 alpha family class B member 4, pseudogene	pseudo
96	chr7	8176284	8176783	+	0	NA	intron (NM_001350836, intron 7 of 14)	intron (NM_001350836, intron 7 of 14)	85519	NM_001350825	3382	Hs.487561	NM_004968	ENSG00000003147	ICA1	ICA69|ICAp69	islet cell autoantigen 1	protein-coding
438	chr5	10319317	10319816	+	0	NA	Intergenic	MER72|LTR|ERV1	-11664	NM_138809	134147	Hs.192586	NM_138809	ENSG00000164237	CMBL	JS-1	carboxymethylenebutenolidase homolog	protein-coding
1088	chr1	9057957	9058456	+	0	NA	exon (NM_001135585, exon 2 of 5)	exon (NM_001135585, exon 2 of 5)	11429	NM_001328621	6518	Hs.530003	NM_003039	ENSG00000142583	SLC2A5	GLUT-5|GLUT5	solute carrier family 2 member 5	protein-coding
157	chr13	62919255	62919754	+	0	NA	Intergenic	MER52A|LTR|ERV1	-112145	NR_120403	100874176	Hs.402083	NR_047029		LINC00448	-	long intergenic non-protein coding RNA 448	ncRNA
289	chr12	95837980	95838479	+	0	NA	intron (NR_135014, intron 1 of 2)	MER50|LTR|ERV1	20610	NR_135014	105369921	Hs.125549	NR_135014	ENSG00000258343	LOC105369921	-	uncharacterized LOC105369921	ncRNA
414	chr15	25859730	25860229	+	0	NA	intron (NM_024490, intron 1 of 20)	intron (NM_024490, intron 1 of 20)	3223	NM_024490	57194	Hs.638517	NM_024490	ENSG00000206190	ATP10A	ATP10C|ATPVA|ATPVC	ATPase phospholipid transporting 10A (putative)	protein-coding
705	chr7	83088430	83088929	+	0	NA	intron (NM_033026, intron 3 of 24)	L2|LINE|L2	74205	NM_033026	27445	Hs.12376	NM_014510	ENSG00000186472	PCLO	ACZ|PCH3	piccolo presynaptic cytomatrix protein	protein-coding
884	chr9	107478898	107479397	+	0	NA	Intergenic	Intergenic	10622	NM_004235	9314	Hs.376206	NM_004235	ENSG00000136826	KLF4	EZF|GKLF	Kruppel like factor 4	protein-coding
1042	chr22	38413159	38413658	+	0	NA	Intergenic	Intergenic	-14482	NR_002821	400927	Hs.720223	NR_002821		TPTEP2	Z98749.2	TPTE pseudogene 2	pseudo
474	chr16	66559923	66560422	+	0	NA	intron (NM_001204099, intron 2 of 3)	L2b|LINE|L2	-6267	NM_181269	113540	Hs.15159	NM_052999	ENSG00000089505	CMTM1	CKLFH|CKLFH1|CKLFSF1	CKLF like MARVEL transmembrane domain containing 1	protein-coding
201	chr12	47242093	47242592	+	0	NA	Intergenic	Intergenic	-25899	NR_026544	100233209	Hs.657722	NR_026544	ENSG00000247774	PCED1B-AS1	-	PCED1B antisense RNA 1	ncRNA
183	chr12	46185583	46186082	+	0	NA	3' UTR (NM_001278387, exon 18 of 18)	3' UTR (NM_001278387, exon 18 of 18)	80684	NM_001278389	81539	Hs.533770	NM_030674	ENSG00000111371	SLC38A1	ATA1|NAT2|SAT1|SNAT1	solute carrier family 38 member 1	protein-coding
868	chr5	135424564	135425063	+	0	NA	Intergenic	LTR16D|LTR|ERVL	22535	NM_130848	140947	Hs.152477	NM_130848	ENSG00000251380	DCANP1	C5orf20|DCNP1	dendritic cell associated nuclear protein	protein-coding
708	chr3	64362871	64363370	+	0	NA	Intergenic	MLT1K|LTR|ERVL-MaLR	-94947	NM_001370528	166336	Hs.148105	NM_198859	ENSG00000163637	PRICKLE2	EPM5	prickle planar cell polarity protein 2	protein-coding
1124	chr4	4601312	4601811	+	0	NA	intron (NR_037888, intron 2 of 5)	intron (NR_037888, intron 2 of 5)	-59218	NM_001346282	53407	Hs.584913	NM_016930	ENSG00000168818	STX18	Ufe1	syntaxin 18	protein-coding
754	chr2	96463827	96464326	+	0	NA	Intergenic	L1MC|LINE|L1	41281	NM_001285486	93082	Hs.149219	NM_001080535	ENSG00000163121	NEURL3	LINCR|RNF132	neuralized E3 ubiquitin protein ligase 3	protein-coding
546	chr2	231696866	231697365	+	0	NA	Intergenic	Intergenic	-11410	NM_001099285	5757	Hs.459927	NM_002823	ENSG00000187514	PTMA	TMSA	prothymosin alpha	protein-coding
432	chr2	100035009	100035508	+	0	NA	intron (NM_001025108, intron 2 of 23)	intron (NM_001025108, intron 2 of 23)	70325	NM_001025108	3899	Hs.444414	NM_002285	ENSG00000144218	AFF3	LAF4|MLLT2-like	AF4/FMR2 family member 3	protein-coding
1028	chr8	57898946	57899445	+	0	NA	Intergenic	Intergenic	-79163	NR_130934	100505477	Hs.434693	NR_130934	ENSG00000205293	LINC01602	T1560	long intergenic non-protein coding RNA 1602	ncRNA
18	chr1	68114812	68115311	+	0	NA	intron (NR_040077, intron 6 of 9)	intron (NR_040077, intron 6 of 9)	-63430	NM_004675	9077	Hs.194695	NM_004675	ENSG00000162595	DIRAS3	ARHI|NOEY2	DIRAS family GTPase 3	protein-coding
1061	chr8	80957440	80957939	+	0	NA	Intergenic	Intergenic	-82908	NM_001033723	619279	Hs.434957	NM_032651	ENSG00000164684	ZNF704	Gig1	zinc finger protein 704	protein-coding
160	chr21	33895717	33896216	+	0	NA	3' UTR (NM_003024, exon 40 of 40)	3' UTR (NM_003024, exon 40 of 40)	19838	NM_001697	539	Hs.409140	NM_001697	ENSG00000241837	ATP5PO	ATP5O|ATPO|HMC08D05|OSCP	ATP synthase peripheral stalk subunit OSCP	protein-coding
1177	chr15	69396387	69396886	+	0	NA	TTS (NR_132970)	TTS (NR_132970)	-17713	NM_138555	9493	Hs.270845	NM_004856	ENSG00000137807	KIF23	CHO1|KNSL5|MKLP-1|MKLP1	kinesin family member 23	protein-coding
429	chr10	696490	696989	+	0	NA	Intergenic	Intergenic	-7071	NM_014974	22982	Hs.432397	NM_014974	ENSG00000151240	DIP2C	KIAA0934	disco interacting protein 2 homolog C	protein-coding
865	chr10	67914801	67915300	+	0	NA	intron (NM_001142498, intron 7 of 7)	intron (NM_001142498, intron 7 of 7)	23648	NM_001314049	23411	Hs.369779	NM_012238	ENSG00000096717	SIRT1	SIR2|SIR2L1|SIR2alpha	sirtuin 1	protein-coding
907	chr8	33389045	33389544	+	0	NA	exon (NM_032664, exon 4 of 5)	exon (NM_032664, exon 4 of 5)	83852	NM_032664	84750	Hs.458713	NM_032664	ENSG00000172728	FUT10	FUCTX	fucosyltransferase 10	protein-coding
1154	chr2	60522452	60522951	+	0	NA	intron (NM_138559, intron 2 of 4)	intron (NM_138559, intron 2 of 4)	30797	NM_001365609	53335	Hs.370549	NM_018014	ENSG00000119866	BCL11A	BCL11A-L|BCL11A-S|BCL11A-XL|BCL11a-M|CTIP1|DILOS|EVI9|HBFQTL5|ZNF856	BAF chromatin remodeling complex subunit BCL11A	protein-coding
1149	chr1	193093202	193093701	+	0	NA	Intergenic	L1MEd|LINE|L1	12027	NM_197962	51022	Hs.458283	NM_016066	ENSG00000023572	GLRX2	CGI-133|GRX2	glutaredoxin 2	protein-coding
963	chr7	151495877	151496376	+	0	NA	intron (NM_005614, intron 1 of 7)	intron (NM_005614, intron 1 of 7)	23769	NM_005614	6009	Hs.283521	NM_005614	ENSG00000106615	RHEB	RHEB2	Ras homolog, mTORC1 binding	protein-coding
435	chr12	69514284	69514783	+	0	NA	promoter-TSS (NR_145803)	promoter-TSS (NR_145803)	-907	NR_145803	109623461		NR_145803		SNORA113	-	small nucleolar RNA, H/ACA box 113	snoRNA
1035	chr17	8340175	8340674	+	0	NA	exon (NM_153007, exon 1 of 3)	exon (NM_153007, exon 1 of 3)	584	NM_153007	146852	Hs.186045	NM_153007	ENSG00000184650	ODF4	CT134|CT136|OPPO1	outer dense fiber of sperm tails 4	protein-coding
579	chr11	76773192	76773691	+	0	NA	Intergenic	L2c|LINE|L2	-8872	NM_001258210	25987	Hs.8361	NM_015516	ENSG00000182704	TSKU	E2IG4|LRRC54|TSK	tsukushi, small leucine rich proteoglycan	protein-coding
694	chr3	13406130	13406629	+	0	NA	intron (NM_024923, intron 1 of 39)	intron (NM_024923, intron 1 of 39)	13943	NM_024923	23225	Hs.475525	NM_024923	ENSG00000132182	NUP210	GP210|POM210	nucleoporin 210	protein-coding
1058	chr1	225825190	225825689	+	0	NA	promoter-TSS (NM_000120)	promoter-TSS (NM_000120)	85	NM_000120	2052	Hs.89649	NM_000120	ENSG00000143819	EPHX1	EPHX|EPOX|HYL1|MEH	epoxide hydrolase 1	protein-coding
862	chr8	55853443	55853942	+	0	NA	Intergenic	MER74A|LTR|ERVL	-26143	NM_001111097	4067	Hs.491767	NM_002350	ENSG00000254087	LYN	JTK8|p53Lyn|p56Lyn	LYN proto-oncogene, Src family tyrosine kinase	protein-coding
519	chr1	172132925	172133424	+	0	NA	3' UTR (NM_001350205, exon 16 of 16)	3' UTR (NM_001350205, exon 16 of 16)	-5634	NR_036066	100422882		NR_036066	ENSG00000283152	MIR3120	mir-3120	microRNA 3120	ncRNA
176	chr4	26873727	26874226	+	0	NA	intron (NM_001169118, intron 1 of 12)	intron (NM_001169118, intron 1 of 12)	13135	NM_001169118	57620	Hs.744950	NM_020860	ENSG00000109689	STIM2	-	stromal interaction molecule 2	protein-coding
504	chr4	3299865	3300364	+	0	NA	Intergenic	Intergenic	-14033	NM_002926	6002	Hs.527061	NM_002926	ENSG00000159788	RGS12	-	regulator of G protein signaling 12	protein-coding
558	chr21	15193856	15194355	+	0	NA	Intergenic	Intergenic	-129105	NM_003489	8204	Hs.155017	NM_003489	ENSG00000180530	NRIP1	CAKUT3|RIP140	nuclear receptor interacting protein 1	protein-coding
722	chr3	23821798	23822297	+	0	NA	intron (NM_003341, intron 3 of 5)	L2a|LINE|L2	11593	NM_001202476	7324	Hs.164853	NM_003341	ENSG00000170142	UBE2E1	UBCH6	ubiquitin conjugating enzyme E2 E1	protein-coding
898	chr12	49254508	49255007	+	0	NA	intron (NM_001303114, intron 1 of 3)	MER21C|LTR|ERVL	-10325	NM_032704	84790	Hs.652390	NM_032704	ENSG00000167553	TUBA1C	TUBA6|bcm948	tubulin alpha 1c	protein-coding
682	chr2	238920026	238920525	+	0	NA	intron (NR_034162, intron 8 of 9)	intron (NR_034162, intron 8 of 9)	5994	NR_034162	401039	Hs.516791	NM_001001698	ENSG00000227744	LINC01940	-	long intergenic non-protein coding RNA 1940	ncRNA
739	chr3	47227836	47228335	+	0	NA	TTS (NM_182902)	TTS (NM_182902)	22524	NR_145712	109617025		NR_145712		SNORD13J	-	small nucleolar RNA, C/D box 13J	snoRNA
116	chr12	132620403	132620902	+	0	NA	intron (NM_001282164, intron 6 of 10)	intron (NM_001282164, intron 6 of 10)	1876	NM_174872	22953	Hs.258580	NM_012226	ENSG00000187848	P2RX2	DFNA41|P2X2	purinergic receptor P2X 2	protein-coding
1099	chr1	54143771	54144270	+	0	NA	intron (NM_001353655, intron 3 of 6)	intron (NM_001353655, intron 3 of 6)	9161	NM_201546	200008		NM_201546	ENSG00000157211	CDCP2	-	CUB domain containing protein 2	protein-coding
725	chr15	67309331	67309830	+	0	NA	intron (NM_001322475, intron 3 of 17)	intron (NM_001322475, intron 3 of 17)	-54382	NM_001271885	79719	Hs.254642	NM_024666	ENSG00000103591	AAGAB	KPPP1|PPKP1|PPKP1A|p34	alpha and gamma adaptin binding protein	protein-coding
