PeakID (cmd=annotatePeaks.pl gain_I315IvI315X.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
7578	chr1	185015540	185016039	+	0	NA	Intergenic	Intergenic	14262	NR_146489	101929069	Hs.497170	NR_146489	ENSG00000260976	LINC01633	GS1-120K12.4	long intergenic non-protein coding RNA 1633	ncRNA
8521	chr11	27349897	27350396	+	0	NA	3' UTR (NM_080654, exon 3 of 3)	3' UTR (NM_080654, exon 3 of 3)	13069	NM_030771	91057	Hs.143733	NM_030771	ENSG00000109881	CCDC34	L15|NY-REN-41|RAMA3	coiled-coil domain containing 34	protein-coding
28619	chr12	92769410	92769909	+	0	NA	TTS (NM_003566)	TTS (NM_003566)	33170	NM_001004330	440107	Hs.591013	NM_001004330	ENSG00000187510	PLEKHG7	-	pleckstrin homology and RhoGEF domain containing G7	protein-coding
22371	chr1	246706805	246707304	+	0	NA	Intergenic	Intergenic	-17355	NM_016002	51097	Hs.498397	NM_016002	ENSG00000143653	SCCPDH	CGI-49|NET11	saccharopine dehydrogenase (putative)	protein-coding
26026	chr5	165934143	165934642	+	0	NA	Intergenic	AluSx|SINE|Alu	991978	NR_108020	102557615		NR_108020	ENSG00000254130	LINC01947	CTB-7E3.1	long intergenic non-protein coding RNA 1947	ncRNA
21224	chrX	9471572	9472071	+	0	NA	intron (NM_005647, intron 1 of 17)	intron (NM_005647, intron 1 of 17)	6763	NM_005647	6907	Hs.495656	NM_005647	ENSG00000101849	TBL1X	EBI|SMAP55|TBL1	transducin beta like 1 X-linked	protein-coding
9011	chr1	33424143	33424642	+	0	NA	Intergenic	Intergenic	-48253	NM_145238	7579	Hs.442705	NM_145238	ENSG00000121903	ZSCAN20	KOX29|ZFP-31|ZNF31|ZNF360	zinc finger and SCAN domain containing 20	protein-coding
7944	chr5	107875777	107876276	+	0	NA	intron (NM_001163315, intron 8 of 8)	intron (NM_001163315, intron 8 of 8)	-205089	NM_001962	1946	Hs.288741	NM_001962	ENSG00000184349	EFNA5	AF1|EFL5|EPLG7|GLC1M|LERK7|RAGS	ephrin A5	protein-coding
17521	chr11	19953863	19954362	+	0	NA	intron (NM_182964, intron 10 of 37)	intron (NM_182964, intron 10 of 37)	-68444	NM_001111019	89797	Hs.64341	NM_145117	ENSG00000166833	NAV2	HELAD1|POMFIL2|RAINB1|STEERIN2|UNC53H2	neuron navigator 2	protein-coding
28968	chr14	89619023	89619522	+	0	NA	promoter-TSS (NM_001085471)	promoter-TSS (NM_001085471)	-107	NM_001085471	1112	Hs.434286	NM_005197	ENSG00000053254	FOXN3	C14orf116|CHES1|PRO1635	forkhead box N3	protein-coding
10324	chr12	28539674	28540173	+	0	NA	intron (NM_001352082, intron 13 of 13)	intron (NM_001352082, intron 13 of 13)	-349185	NR_148936	729291	Hs.129278	NR_148936		LOC729291	-	uncharacterized LOC729291	ncRNA
14897	chr5	154359097	154359596	+	0	NA	intron (NM_198321, intron 4 of 11)	intron (NM_198321, intron 4 of 11)	12240	NR_031626	100302181		NR_031626	ENSG00000221430	MIR1294	MIRN1294|hsa-mir-1294|mir-1294	microRNA 1294	ncRNA
22690	chr10	43061756	43062255	+	0	NA	Intergenic	Intergenic	-15022	NM_020630	5979	Hs.350321	NM_000323	ENSG00000165731	RET	CDHF12|CDHR16|HSCR1|MEN2A|MEN2B|MTC1|PTC|RET-ELE1	ret proto-oncogene	protein-coding
1816	chr2	181106771	181107270	+	0	NA	Intergenic	Intergenic	-16817	NR_130784	101927156	Hs.580074	NR_130784		LINC01934	-	long intergenic non-protein coding RNA 1934	ncRNA
26346	chr12	106213617	106214116	+	0	NA	Intergenic	MLT1D|LTR|ERVL-MaLR	34154	NM_006825	10970	Hs.74368	NM_006825	ENSG00000136026	CKAP4	CLIMP-63|ERGIC-63|p63	cytoskeleton associated protein 4	protein-coding
8858	chr8	33245430	33245929	+	0	NA	Intergenic	AluJo|SINE|Alu	227467	NM_032664	84750	Hs.458713	NM_032664	ENSG00000172728	FUT10	FUCTX	fucosyltransferase 10	protein-coding
27423	chr2	110674982	110675481	+	0	NA	intron (NM_001278617, intron 1 of 23)	L2a|LINE|L2	2832	NM_004336	699	Hs.469649	NM_004336	ENSG00000169679	BUB1	BUB1A|BUB1L|hBUB1	BUB1 mitotic checkpoint serine/threonine kinase	protein-coding
10044	chr12	92721117	92721616	+	0	NA	Intergenic	Intergenic	-15123	NM_001004330	440107	Hs.591013	NM_001004330	ENSG00000187510	PLEKHG7	-	pleckstrin homology and RhoGEF domain containing G7	protein-coding
7718	chr6	15075147	15075646	+	0	NA	Intergenic	MLT1A|LTR|ERVL-MaLR	-170673	NM_004973	3720	Hs.269059	NM_004973	ENSG00000008083	JARID2	JMJ	jumonji and AT-rich interaction domain containing 2	protein-coding
22154	chr1	66598641	66599140	+	0	NA	intron (NM_001350218, intron 1 of 22)	MER119|DNA|hAT-Charlie	-29550	NR_036060	100422871		NR_036060	ENSG00000264720	MIR3117	mir-3117	microRNA 3117	ncRNA
572	chr12	63045161	63045660	+	0	NA	Intergenic	Intergenic	107400	NM_000706	552	Hs.2131	NM_000706	ENSG00000166148	AVPR1A	AVPR V1a|AVPR1|V1aR	arginine vasopressin receptor 1A	protein-coding
18162	chr2	75021660	75022159	+	0	NA	Intergenic	Intergenic	63266	NM_019896	56655	Hs.469060	NM_019896	ENSG00000115350	POLE4	YHHQ1|p12	DNA polymerase epsilon 4, accessory subunit	protein-coding
23719	chr10	71927968	71928467	+	0	NA	Intergenic	L1M8|LINE|L1	-36178	NM_004273	9469	Hs.158304	NM_004273	ENSG00000122863	CHST3	C6ST|C6ST1|HSD	carbohydrate sulfotransferase 3	protein-coding
10651	chr15	63177091	63177590	+	0	NA	Intergenic	Tigger14a|DNA|TcMar-Tigger	-12266	NM_016530	51762	Hs.389733	NM_016530	ENSG00000166128	RAB8B	-	RAB8B, member RAS oncogene family	protein-coding
12386	chr9	131635281	131635780	+	0	NA	intron (NM_198679, intron 5 of 23)	intron (NM_198679, intron 5 of 23)	74312	NM_198679	2889	Hs.127897	NM_005312	ENSG00000107263	RAPGEF1	C3G|GRF2	Rap guanine nucleotide exchange factor 1	protein-coding
6560	chr10	70715783	70716282	+	0	NA	intron (NM_080722, intron 4 of 21)	intron (NM_080722, intron 4 of 21)	43526	NM_080722	140766	Hs.352156	NM_080722	ENSG00000138316	ADAMTS14	-	ADAM metallopeptidase with thrombospondin type 1 motif 14	protein-coding
21833	chr4	52946690	52947189	+	0	NA	intron (NM_152540, intron 5 of 8)	intron (NM_152540, intron 5 of 8)	84622	NM_023940	65997	Hs.8035	NM_023940	ENSG00000128045	RASL11B	-	RAS like family 11 member B	protein-coding
3821	chr7	44639698	44640197	+	0	NA	intron (NM_002541, intron 2 of 22)	intron (NM_002541, intron 2 of 22)	33320	NM_001363523	4967	Hs.488181	NM_002541	ENSG00000105953	OGDH	AKGDH|E1k|OGDC	oxoglutarate dehydrogenase	protein-coding
17724	chr10	46080039	46080538	+	0	NA	Intergenic	Intergenic	-29207	NR_126580	653268	Hs.447454	NM_001077685		AGAP7P	AGAP-7|AGAP7|CTGLF4|bA109G10.1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 7, pseudogene	pseudo
9531	chr11	115127783	115128282	+	0	NA	Intergenic	Intergenic	-205545	NR_135108	105369509	Hs.736064	NR_135108		LOC105369509	-	uncharacterized LOC105369509	ncRNA
6166	chr6	140816658	140817620	+	0	NA	Intergenic	Intergenic	133325	NR_039675	100616180		NR_039675	ENSG00000264390	MIR4465	-	microRNA 4465	ncRNA
2820	chr21	16541233	16541732	+	0	NA	intron (NR_136547, intron 2 of 2)	intron (NR_136547, intron 2 of 2)	1654	NR_029480	406885		NR_029480	ENSG00000199030	MIRLET7C	LET7C|MIRNLET7C|hsa-let-7c|let-7c	microRNA let-7c	ncRNA
23216	chr2	110659218	110659717	+	0	NA	intron (NM_001278616, intron 10 of 23)	L2a|LINE|L2	-1218	NR_132975	106635550		NR_132975		SNORD132	-	small nucleolar RNA, C/D box 132	snoRNA
15124	chr4	157058842	157059341	+	0	NA	Intergenic	AluSc|SINE|Alu	-17034	NM_001166061	2743	Hs.32973	NM_000824	ENSG00000109738	GLRB	HKPX2	glycine receptor beta	protein-coding
24110	chr5	95081398	95081897	+	0	NA	5' UTR (NM_001002796, exon 1 of 23)	5' UTR (NM_001002796, exon 1 of 23)	219	NM_001002796	79772	Hs.591248	NM_024717	ENSG00000175471	MCTP1	-	multiple C2 and transmembrane domain containing 1	protein-coding
15674	chr20	48463838	48464337	+	0	NA	Intergenic	L2b|LINE|L2	104176	NR_026958	284749	Hs.299080	NR_026958	ENSG00000235621	LINC00494	-	long intergenic non-protein coding RNA 494	ncRNA
28202	chr3	189270187	189270686	+	0	NA	intron (NM_198485, intron 4 of 5)	intron (NM_198485, intron 4 of 5)	-29842	NR_046722	100874027	Hs.616080	NR_046722	ENSG00000230115	TPRG1-AS2	-	TPRG1 antisense RNA 2	ncRNA
5833	chr5	74241705	74242204	+	0	NA	Intergenic	MER5A|DNA|hAT-Charlie	66371	NR_105009	102503429	Hs.519391	NR_105009	ENSG00000248942	LINC01335	-	long intergenic non-protein coding RNA 1335	ncRNA
19845	chr22	48605780	48606279	+	0	NA	intron (NM_015381, intron 1 of 3)	intron (NM_015381, intron 1 of 3)	29689	NM_015381	25817	Hs.436854	NM_015381	ENSG00000219438	TAFA5	FAM19A5|QLLK5208|TAFA-5|UNQ5208	TAFA chemokine like family member 5	protein-coding
3558	chr2	84427136	84427635	+	0	NA	intron (NM_003849, intron 7 of 8)	Charlie1a|DNA|hAT-Charlie	31895	NM_003849	8802	Hs.270428	NM_003849	ENSG00000163541	SUCLG1	GALPHA|MTDPS9|SUCLA1	succinate-CoA ligase alpha subunit	protein-coding
19061	chr2	54000084	54000583	+	0	NA	intron (NM_001320587, intron 2 of 5)	intron (NM_001320587, intron 2 of 5)	29220	NM_001320587	98	Hs.516173	NM_138448	ENSG00000170634	ACYP2	ACYM|ACYP	acylphosphatase 2	protein-coding
5611	chr20	10842046	10842545	+	0	NA	Intergenic	Intergenic	66977	NR_109866	101929413	Hs.385604	NR_109866	ENSG00000232900	LOC101929413	-	uncharacterized LOC101929413	ncRNA
3046	chr1	220451464	220451963	+	0	NA	Intergenic	Intergenic	-76423	NM_018650	4139	Hs.497806	NM_018650	ENSG00000116141	MARK1	MARK|Par-1c|Par1c	microtubule affinity regulating kinase 1	protein-coding
867	chr4	127403478	127403977	+	0	NA	Intergenic	LFSINE_Vert|SINE|tRNA	-229230	NM_015693	27152	Hs.391481	NM_015693	ENSG00000164066	INTU	CPLANE4|INT|OFD17|PDZD6|PDZK6|SRTD20	inturned planar cell polarity protein	protein-coding
12549	chr12	124385128	124385627	+	0	NA	intron (NM_001077261, intron 19 of 47)	intron (NM_001077261, intron 19 of 47)	-48135	NR_106940	102466204		NR_106940	ENSG00000275967	MIR6880	hsa-mir-6880	microRNA 6880	ncRNA
448	chr1	117268829	117269328	+	0	NA	Intergenic	Intergenic	-26388	NR_126408	104355292	Hs.576446	NR_126408	ENSG00000235202	LINC01525	lnc-MAN1A2-1	long intergenic non-protein coding RNA 1525	ncRNA
6782	chr4	173466061	173466560	+	0	NA	intron (NM_001329597, intron 1 of 3)	intron (NM_001329597, intron 1 of 3)	52928	NM_001329597	11341	Hs.7122	NM_007281	ENSG00000164106	SCRG1	SCRG-1	stimulator of chondrogenesis 1	protein-coding
6620	chr7	117946273	117946772	+	0	NA	Intergenic	LTR16A|LTR|ERVL	-73081	NM_001363351	83992	Hs.592285	NM_033427	ENSG00000077063	CTTNBP2	C7orf8|CORTBP2|Orf4	cortactin binding protein 2	protein-coding
23996	chr11	13134111	13134610	+	0	NA	Intergenic	L2|LINE|L2	125044	NM_001080521	644943	Hs.134650	NM_001080521	ENSG00000189431	RASSF10	-	Ras association domain family member 10	protein-coding
27079	chr7	120190492	120190991	+	0	NA	Intergenic	Intergenic	-82434	NM_012281	3751	Hs.654739	NM_012281	ENSG00000184408	KCND2	KV4.2|RK5	potassium voltage-gated channel subfamily D member 2	protein-coding
11755	chr2	43311236	43311735	+	0	NA	intron (NM_001083953, intron 31 of 37)	L1MB7|LINE|L1	84274	NR_027251	100129726	Hs.194480	NM_178529	ENSG00000279873	LINC01126	-	long intergenic non-protein coding RNA 1126	ncRNA
3899	chr2	12059809	12060308	+	0	NA	intron (NR_110196, intron 2 of 5)	L2c|LINE|L2	52942	NR_110198	100506457	Hs.197824	NR_110196	ENSG00000224184	MIR3681HG	-	MIR3681 host gene	ncRNA
27336	chr1	73800276	73800775	+	0	NA	Intergenic	Intergenic	125846	NR_146300	109729166	Hs.563902	NR_146300		LINC02238	-	long intergenic non-protein coding RNA 2238	ncRNA
14305	chr1	17098808	17099307	+	0	NA	intron (NM_007365, intron 3 of 15)	intron (NM_007365, intron 3 of 15)	20394	NM_007365	11240	Hs.33455	NM_007365	ENSG00000117115	PADI2	PAD-H19|PAD2|PDI2	peptidyl arginine deiminase 2	protein-coding
11339	chr10	63208970	63209469	+	0	NA	exon (NM_001322252, exon 8 of 25)	exon (NM_001322252, exon 8 of 25)	60004	NR_134512	221037	Hs.413416	NM_004241	ENSG00000171988	JMJD1C	KDM3C|TRIP-8|TRIP8	jumonji domain containing 1C	protein-coding
18038	chr6	119897419	119897918	+	0	NA	Intergenic	Intergenic	-117511	NR_036098	100422951		NR_036098	ENSG00000265725	MIR3144	mir-3144	microRNA 3144	ncRNA
20239	chr3	113436705	113437204	+	0	NA	intron (NM_001164496, intron 1 of 34)	MLT1E2|LTR|ERVL-MaLR	4539	NM_001164496	55779	Hs.584936	NM_018338	ENSG00000206530	CFAP44	SPGF20|WDR52	cilia and flagella associated protein 44	protein-coding
16274	chr15	48929674	48930173	+	0	NA	intron (NM_203349, intron 1 of 11)	intron (NM_203349, intron 1 of 11)	33996	NM_203349	399694	Hs.642615	NM_203349	ENSG00000185634	SHC4	RaLP|SHCD	SHC adaptor protein 4	protein-coding
11076	chr4	107600385	107600884	+	0	NA	Intergenic	Intergenic	119600	NM_005443	9061	Hs.368610	NM_005443	ENSG00000138801	PAPSS1	ATPSK1|PAPSS|SK1	3'-phosphoadenosine 5'-phosphosulfate synthase 1	protein-coding
28138	chr16	79104519	79105018	+	0	NA	intron (NM_001291997, intron 7 of 7)	intron (NM_001291997, intron 7 of 7)	495969	NM_001031804	4094	Hs.134859	NM_005360	ENSG00000178573	MAF	AYGRP|CCA4|CTRCT21|c-MAF	MAF bZIP transcription factor	protein-coding
10263	chr1	185241127	185241626	+	0	NA	intron (NM_017673, intron 16 of 18)	intron (NM_017673, intron 16 of 18)	75867	NM_006469	10625	Hs.497183	NM_006469	ENSG00000116679	IVNS1ABP	ARA3|FLARA3|HSPC068|KLHL39|ND1|NS-1|NS1-BP|NS1BP	influenza virus NS1A binding protein	protein-coding
21176	chr13	95154424	95154923	+	0	NA	intron (NM_001105515, intron 19 of 20)	intron (NM_001105515, intron 19 of 20)	-55671	NR_145733	109616987		NR_145733		SNORD13G	-	small nucleolar RNA, C/D box 13G	snoRNA
17629	chr17	64082066	64082565	+	0	NA	intron (NM_001433, intron 2 of 21)	intron (NM_001433, intron 2 of 21)	47829	NM_001433	2081	Hs.133982	NM_001433	ENSG00000178607	ERN1	IRE1|IRE1P|IRE1a|hIRE1p	endoplasmic reticulum to nucleus signaling 1	protein-coding
26318	chr14	54085224	54085723	+	0	NA	Intergenic	Intergenic	-128582	NM_001347912	652	Hs.68879	NM_001202	ENSG00000125378	BMP4	BMP2B|BMP2B1|MCOPS6|OFC11|ZYME	bone morphogenetic protein 4	protein-coding
21363	chr6	116352713	116353212	+	0	NA	intron (NR_136524, intron 1 of 4)	intron (NR_136524, intron 1 of 4)	-16857	NM_001322939	29940	Hs.458358	NM_013352	ENSG00000111817	DSE	DS-epi1|DSEP|DSEPI|EDSMC2|SART-2|SART2	dermatan sulfate epimerase	protein-coding
7460	chr8	128209820	128210319	+	0	NA	Intergenic	Intergenic	59953	NR_031613	100302281		NR_031613	ENSG00000221261	MIR1208	MIRN1208|hsa-mir-1208	microRNA 1208	ncRNA
28511	chr1	85451379	85451878	+	0	NA	intron (NM_001134445, intron 2 of 6)	intron (NM_001134445, intron 2 of 6)	13531	NM_012137	23576	Hs.713411	NM_012137	ENSG00000153904	DDAH1	DDAH|DDAH-1|DDAHI|HEL-S-16	dimethylarginine dimethylaminohydrolase 1	protein-coding
3172	chr2	53575466	53575965	+	0	NA	Intergenic	Intergenic	-192068	NM_001346127	494143	Hs.585944	NM_001008708	ENSG00000143942	CHAC2	GCG1	ChaC cation transport regulator homolog 2	protein-coding
21626	chr6	54879234	54879733	+	0	NA	intron (NM_001010872, intron 2 of 4)	intron (NM_001010872, intron 2 of 4)	32712	NM_001010872	222584	Hs.152423	NM_001010872	ENSG00000168143	FAM83B	C6orf143	family with sequence similarity 83 member B	protein-coding
17179	chr13	51576653	51577152	+	0	NA	Intergenic	Intergenic	-7560	NM_052950	115825	Hs.46506	NM_052950	ENSG00000139668	WDFY2	PROF|WDF2|ZFYVE22	WD repeat and FYVE domain containing 2	protein-coding
10559	chr1	246139629	246140128	+	0	NA	intron (NM_022743, intron 5 of 11)	Tigger19a|DNA|TcMar-Tigger	277534	NM_022743	64754	Hs.567571	NM_022743	ENSG00000185420	SMYD3	KMT3E|ZMYND1|ZNFN3A1|bA74P14.1	SET and MYND domain containing 3	protein-coding
18932	chr13	108902374	108902873	+	0	NA	intron (NM_015011, intron 15 of 34)	MLT1C|LTR|ERVL-MaLR	264680	NR_047700	100885782	Hs.655942	NR_047700	ENSG00000236242	MYO16-AS1	-	MYO16 antisense RNA 1	ncRNA
13857	chr11	30488501	30489000	+	0	NA	intron (NM_001584, intron 3 of 5)	intron (NM_001584, intron 3 of 5)	91743	NM_001584	744	Hs.289795	NM_001584	ENSG00000066382	MPPED2	239FB|C11orf8	metallophosphoesterase domain containing 2	protein-coding
18413	chr9	7770070	7770569	+	0	NA	Intergenic	Intergenic	29459	NM_033428	90871	Hs.7517	NM_033428	ENSG00000137038	DMAC1	C9orf123|TMEM261	distal membrane arm assembly complex 1	protein-coding
5886	chr1	227459992	227460491	+	0	NA	Intergenic	L2a|LINE|L2	-103315	NR_102302	339500	Hs.30323	NM_032755	ENSG00000181450	ZNF678	-	zinc finger protein 678	protein-coding
15779	chr13	90717557	90718056	+	0	NA	Intergenic	MIRc|SINE|MIR	208791	NR_027039	144776	Hs.434120	NR_027039	ENSG00000231674	LINC00410	-	long intergenic non-protein coding RNA 410	ncRNA
25281	chr2	23788882	23789381	+	0	NA	intron (NR_125717, intron 20 of 28)	intron (NR_125717, intron 20 of 28)	137992	NM_017552	54454	Hs.467862	NM_017552	ENSG00000119778	ATAD2B	-	ATPase family AAA domain containing 2B	protein-coding
1893	chr11	109789874	109790373	+	0	NA	Intergenic	Intergenic	-303269	NM_033390	85463	Hs.376289	NM_033390	ENSG00000149289	ZC3H12C	MCPIP3	zinc finger CCCH-type containing 12C	protein-coding
13560	chr5	52838603	52839102	+	0	NA	intron (NM_181501, intron 1 of 28)	AluJb|SINE|Alu	50936	NM_015946	53918	Hs.644352	NM_015946	ENSG00000152684	PELO	CGI-17|PRO1770	pelota mRNA surveillance and ribosome rescue factor	protein-coding
25303	chr9	106753007	106753506	+	0	NA	Intergenic	Intergenic	-109910	NM_021224	58499	Hs.370379	NM_021224	ENSG00000148143	ZNF462	ZFPIP|Zfp462	zinc finger protein 462	protein-coding
8101	chr16	22782160	22782659	+	0	NA	Intergenic	Intergenic	-31753	NM_006043	9956	Hs.115830	NM_006043	ENSG00000122254	HS3ST2	30ST2|3OST2	heparan sulfate-glucosamine 3-sulfotransferase 2	protein-coding
29161	chr4	153257065	153257564	+	0	NA	promoter-TSS (NM_001302694)	promoter-TSS (NM_001302694)	-45	NM_001302694	23321	Hs.435711	NM_015271	ENSG00000109654	TRIM2	CMT2R|RNF86	tripartite motif containing 2	protein-coding
14010	chr22	20531210	20531709	+	0	NA	intron (NM_001293237, intron 1 of 16)	MIRb|SINE|MIR	23412	NM_001293237	51586	Hs.517421	NM_015889	ENSG00000099917	MED15	ARC105|CAG7A|CTG7A|PCQAP|TIG-1|TIG1|TNRC7	mediator complex subunit 15	protein-coding
5549	chr1	224884392	224884891	+	0	NA	Intergenic	LTR40A1|LTR|ERVL	-45013	NM_144989	127602	Hs.133977	NM_001373	ENSG00000185842	DNAH14	C1orf67|Dnahc14|HL-18|HL18	dynein axonemal heavy chain 14	protein-coding
25024	chr2	38499988	38500487	+	0	NA	intron (NR_110259, intron 1 of 4)	intron (NR_110259, intron 1 of 4)	15503	NR_110259	101929596	Hs.537341	NR_110259		LINC02613	-	long intergenic non-protein coding RNA 2613	ncRNA
15809	chr2	38170097	38170596	+	0	NA	intron (NR_027252, intron 2 of 2)	intron (NR_027252, intron 2 of 2)	39241	NR_027252	285154	Hs.353894	NM_173652	ENSG00000232973	CYP1B1-AS1	C2orf58	CYP1B1 antisense RNA 1	ncRNA
25344	chr10	22738492	22738991	+	0	NA	Intergenic	HAL1ME|LINE|L1	-24163	NM_005028	5305	Hs.57079	NM_005028	ENSG00000150867	PIP4K2A	PI5P4KA|PIP5K2A|PIP5KII-alpha|PIP5KIIA|PIPK	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha	protein-coding
245	chr7	116354852	116355351	+	0	NA	Intergenic	Intergenic	-68374	NR_130922	102724434	Hs.667624	NR_130921	ENSG00000237870	LOC102724434	-	uncharacterized LOC102724434	ncRNA
10909	chr9	78807256	78807755	+	0	NA	Intergenic	Intergenic	338161	NR_109771	101927450	Hs.738041	NR_109771	ENSG00000260995	LOC101927450	-	uncharacterized LOC101927450	ncRNA
11869	chr5	138962634	138963133	+	0	NA	intron (NM_022464, intron 7 of 9)	intron (NM_022464, intron 7 of 9)	87483	NM_001323988	1495	Hs.445981	NM_001903	ENSG00000044115	CTNNA1	CAP102|MDPT2	catenin alpha 1	protein-coding
85	chr1	184156419	184157368	+	0	NA	Intergenic	Intergenic	105163	NR_125335	116461	Hs.548197	NM_052965	ENSG00000198860	TSEN15	C1orf19|PCH2F|sen15	tRNA splicing endonuclease subunit 15	protein-coding
27866	chr20	34300094	34300593	+	0	NA	intron (NM_001161766, intron 1 of 9)	L2|LINE|L2	2647	NM_001322084	191	Hs.388004	NM_000687	ENSG00000101444	AHCY	SAHH|adoHcyase	adenosylhomocysteinase	protein-coding
16545	chr12	123126460	123126959	+	0	NA	Intergenic	Intergenic	-16220	NM_001300801	57605	Hs.272759	NM_020845	ENSG00000090975	PITPNM2	NIR-3|NIR3|RDGB2|RDGBA2	phosphatidylinositol transfer protein membrane associated 2	protein-coding
26681	chr7	27636551	27637050	+	0	NA	intron (NM_152740, intron 2 of 7)	intron (NM_152740, intron 2 of 7)	20826	NR_122123	790953	Hs.571330	NR_122122		TSL	-	testis-expressed, seven-twelve, leukemia	ncRNA
28062	chr4	53497434	53497933	+	0	NA	intron (NM_001126328, intron 5 of 10)	intron (NM_001126328, intron 5 of 10)	-2394	NR_046622	100873939	Hs.662372	NR_046622	ENSG00000250930	LNX1-AS1	-	LNX1 antisense RNA 1	ncRNA
