PeakID (cmd=annotatePeaks.pl gain_I315RvI315X.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
256	chr6	110523317	110523816	+	0	NA	Intergenic	MSTA|LTR|ERVL-MaLR	-46953	NM_033125	85413	Hs.520319	NM_033125	ENSG00000004809	SLC22A16	CT2|FLIPT2|HEL-S-18|OAT6|OCT6|OKB1|dJ261K5.1	solute carrier family 22 member 16	protein-coding
21	chr10	75283643	75284142	+	0	NA	intron (NR_120651, intron 1 of 3)	intron (NR_120651, intron 1 of 3)	-12491	NR_038224	253264	Hs.662111	NR_038223	ENSG00000226051	ZNF503-AS1	-	ZNF503 antisense RNA 1	ncRNA
241	chr14	99936010	99936509	+	0	NA	exon (NM_001008707, exon 20 of 23)	exon (NM_001008707, exon 20 of 23)	-35163	NM_001330221	51466	Hs.125867	NM_016337	ENSG00000196405	EVL	RNB6	Enah/Vasp-like	protein-coding
125	chr2	28276011	28276510	+	0	NA	intron (NM_199193, intron 11 of 13)	intron (NM_199193, intron 11 of 13)	34199	NR_038319	100505716	Hs.679092	NR_038319	ENSG00000223522	LOC100505716	-	uncharacterized LOC100505716	ncRNA
69	chr7	140626236	140626735	+	0	NA	intron (NM_001318053, intron 1 of 13)	intron (NM_001318053, intron 1 of 13)	13813	NM_001362678	27147	Hs.6385	NM_015689	ENSG00000146966	DENND2A	FAM31D|KIAA1277	DENN domain containing 2A	protein-coding
143	chr10	77505909	77506408	+	0	NA	intron (NM_001271519, intron 1 of 28)	intron (NM_001271519, intron 1 of 28)	131650	NM_001322837	3778	Hs.144795	NM_002247	ENSG00000156113	KCNMA1	BKTM|CADEDS|KCa1.1|MaxiK|PNKD3|SAKCA|SLO|SLO-ALPHA|SLO1|bA205K10.1|hSlo|mSLO1	potassium calcium-activated channel subfamily M alpha 1	protein-coding
194	chr4	156346986	156347485	+	0	NA	Intergenic	L1M4b|LINE|L1	-393369	NM_001334	1519	Hs.75262	NM_001334	ENSG00000256043	CTSO	CTSO1	cathepsin O	protein-coding
107	chr3	83514432	83514931	+	0	NA	Intergenic	LTR7|LTR|ERV1	1354894	NR_033860	440970	Hs.411049	NR_033860	ENSG00000242641	LINC00971	-	long intergenic non-protein coding RNA 971	ncRNA
158	chr11	86743368	86743867	+	0	NA	Intergenic	Intergenic	-47454	NM_001293180	11098	Hs.25338	NM_007173	ENSG00000150687	PRSS23	SIG13|SPUVE|ZSIG13	serine protease 23	protein-coding
280	chr12	97247424	97247923	+	0	NA	Intergenic	Intergenic	-215103	NR_152618	196475	Hs.652568	NR_024037	ENSG00000255794	RMST	LINC00054|NCRMS|NCRNA00054	rhabdomyosarcoma 2 associated transcript	ncRNA
16	chr7	137953083	137953582	+	0	NA	promoter-TSS (NR_161346)	promoter-TSS (NR_161346)	-16	NR_161346	100130880	Hs.712161	NR_161346		CREB3L2-AS1	-	CREB3L2 antisense RNA 1	ncRNA
209	chr20	35320159	35320658	+	0	NA	intron (NM_001184977, intron 5 of 7)	MIR|SINE|MIR	-27983	NM_178468	128876	Hs.592149	NM_178468	ENSG00000125998	FAM83C	C20orf128|dJ614O4.7	family with sequence similarity 83 member C	protein-coding
236	chr3	46114420	46114919	+	0	NA	Intergenic	HERVP71A-int|LTR|ERV1	-87186	NM_001024644	2829	Hs.128375	NM_005283	ENSG00000173578	XCR1	CCXCR1|GPR5	X-C motif chemokine receptor 1	protein-coding
110	chr4	128552999	128553498	+	0	NA	Intergenic	Intergenic	125232	NR_125882	100507487	Hs.549644	NR_125882	ENSG00000251432	LINC02615	-	long intergenic non-protein coding RNA 2615	ncRNA
79	chr10	58856442	58856941	+	0	NA	Intergenic	Intergenic	141676	NR_027508	728640	Hs.729209	NR_027508		FAM133CP	-	family with sequence similarity 133, member A pseudogene	pseudo
12	chr12	97386173	97386672	+	0	NA	Intergenic	Intergenic	-76354	NR_152618	196475	Hs.652568	NR_024037	ENSG00000255794	RMST	LINC00054|NCRMS|NCRNA00054	rhabdomyosarcoma 2 associated transcript	ncRNA
34	chr4	128354342	128354841	+	0	NA	Intergenic	MIR3|SINE|MIR	-66778	NM_006320	10424	Hs.507910	NM_006320	ENSG00000164040	PGRMC2	DG6|PMBP	progesterone receptor membrane component 2	protein-coding
40	chr5	71653107	71653606	+	0	NA	intron (NM_022132, intron 16 of 16)	intron (NM_022132, intron 16 of 16)	-65919	NM_004291	9607	Hs.1707	NM_004291	ENSG00000164326	CARTPT	CART	CART prepropeptide	protein-coding
257	chr16	86946319	86946818	+	0	NA	Intergenic	Intergenic	-111216	NR_126008	440390	Hs.513789	NR_126008	ENSG00000232190	LINC02181	-	long intergenic non-protein coding RNA 2181	ncRNA
159	chr3	133480121	133480620	+	0	NA	intron (NR_135276, intron 1 of 4)	intron (NR_135276, intron 1 of 4)	10776	NR_135276	85003	Hs.659202	NR_135276	ENSG00000249993	BFSP2-AS1	-	BFSP2 antisense RNA 1	ncRNA
272	chr16	2794441	2794940	+	0	NA	intron (NM_001354586, intron 2 of 6)	LTR8B|LTR|ERV1	1842	NR_145775	109616997		NR_145775	ENSG00000221719	SNORA3C	-	small nucleolar RNA, H/ACA box 3C	snoRNA
244	chr20	56787475	56787974	+	0	NA	Intergenic	Intergenic	158418	NM_003222	7022	Hs.473152	NM_003222	ENSG00000087510	TFAP2C	AP2-GAMMA|ERF1|TFAP2G|hAP-2g	transcription factor AP-2 gamma	protein-coding
208	chr6	110491837	110492336	+	0	NA	Intergenic	LTR8B|LTR|ERV1	-15473	NM_033125	85413	Hs.520319	NM_033125	ENSG00000004809	SLC22A16	CT2|FLIPT2|HEL-S-18|OAT6|OCT6|OKB1|dJ261K5.1	solute carrier family 22 member 16	protein-coding
185	chr14	85234156	85234655	+	0	NA	Intergenic	L2c|LINE|L2	-37527	NR_145983	26843		NR_145983		SNORD3P3	RNU3P3|U3|U3.5|u3.7	small nucleolar RNA, C/D box 3 pseudogene 3	snoRNA
215	chr1	201272787	201273286	+	0	NA	Intergenic	Intergenic	-10416	NM_000299	5317	Hs.497350	NM_000299	ENSG00000081277	PKP1	B6P	plakophilin 1	protein-coding
5	chr2	237500878	237501377	+	0	NA	intron (NM_024101, intron 2 of 15)	intron (NM_024101, intron 2 of 15)	-9804	NR_106869	102465486		NR_106869	ENSG00000277842	MIR6811	hsa-mir-6811	microRNA 6811	ncRNA
165	chr2	119252707	119253206	+	0	NA	intron (NM_138637, intron 3 of 5)	intron (NM_138637, intron 3 of 5)	-3885	NR_046721	100874111	Hs.704682	NR_046721	ENSG00000229867	STEAP3-AS1	-	STEAP3 antisense RNA 1	ncRNA
139	chr18	49548261	49548760	+	0	NA	Intergenic	L2a|LINE|L2	-13547	NM_001308006	9388	Hs.465102	NM_006033	ENSG00000101670	LIPG	EDL|EL|PRO719	lipase G, endothelial type	protein-coding
191	chr12	71556876	71557375	+	0	NA	intron (NR_110596, intron 6 of 19)	intron (NR_110596, intron 6 of 19)	106723	NM_144982	196441	Hs.245798	NM_144982	ENSG00000133858	ZFC3H1	CCDC131|CSRC2|PSRC2	zinc finger C3H1-type containing	protein-coding
90	chr20	58623817	58624316	+	0	NA	Intergenic	Intergenic	-10706	NR_125359	79160	Hs.280135	NR_125359	ENSG00000268941	LINC01711	-	long intergenic non-protein coding RNA 1711	ncRNA
106	chr1	94697763	94698262	+	0	NA	intron (NR_160779, intron 2 of 5)	LTR22|LTR|ERVK	47888	NR_039620	100616321		NR_039620	ENSG00000263526	MIR378G	-	microRNA 378g	ncRNA
220	chr9	95025157	95026144	+	0	NA	intron (NM_032823, intron 11 of 14)	intron (NM_032823, intron 11 of 14)	-39700	NR_106729	102466518		NR_106729	ENSG00000274115	MIR6081	hsa-mir-6081	microRNA 6081	ncRNA
237	chr13	97141530	97142029	+	0	NA	Intergenic	Intergenic	37843	NR_125725	103625683	Hs.679591	NR_125725	ENSG00000233124	LINC00456	-	long intergenic non-protein coding RNA 456	ncRNA
8	chr5	173764386	173764885	+	0	NA	Intergenic	Intergenic	-18426	NR_108027	101928136	Hs.449267	NR_108027	ENSG00000253686	LINC01484	-	long intergenic non-protein coding RNA 1484	ncRNA
201	chr2	160157849	160158348	+	0	NA	intron (NM_001282390, intron 6 of 13)	intron (NM_001282390, intron 6 of 13)	42174	NM_001282388	3694	Hs.470399	NM_000888	ENSG00000115221	ITGB6	AI1H	integrin subunit beta 6	protein-coding
103	chr3	64238925	64239424	+	0	NA	intron (NM_001370528, intron 1 of 7)	intron (NM_001370528, intron 1 of 7)	-13708	NM_198859	166336	Hs.148105	NM_198859	ENSG00000163637	PRICKLE2	EPM5	prickle planar cell polarity protein 2	protein-coding
65	chr6	110511323	110511822	+	0	NA	Intergenic	LTR35|LTR|ERV1	-34959	NM_033125	85413	Hs.520319	NM_033125	ENSG00000004809	SLC22A16	CT2|FLIPT2|HEL-S-18|OAT6|OCT6|OKB1|dJ261K5.1	solute carrier family 22 member 16	protein-coding
112	chr1	201714571	201715070	+	0	NA	intron (NM_020443, intron 2 of 29)	intron (NM_020443, intron 2 of 29)	-4688	NR_049823	100847050		NR_049823	ENSG00000264802	MIR5191	-	microRNA 5191	ncRNA
134	chr19	41223393	41223892	+	0	NA	intron (NM_001699, intron 4 of 18)	intron (NM_001699, intron 4 of 18)	-3113	NM_001278599	558	Hs.590970	NM_001699	ENSG00000167601	AXL	ARK|JTK11|Tyro7|UFO	AXL receptor tyrosine kinase	protein-coding
2	chr14	100476444	100476943	+	0	NA	intron (NM_001350950, intron 2 of 5)	MIRb|SINE|MIR	91377	NM_001159531	57596	Hs.211751	NM_020836	ENSG00000183092	BEGAIN	-	brain enriched guanylate kinase associated	protein-coding
175	chr2	28508331	28508830	+	0	NA	intron (NM_001170585, intron 1 of 56)	intron (NM_001170585, intron 1 of 56)	12509	NM_001170585	151056	Hs.444933	NM_153021	ENSG00000163803	PLB1	PLB|PLB/LIP	phospholipase B1	protein-coding
63	chr9	80061892	80062391	+	0	NA	Intergenic	LFSINE_Vert|SINE|tRNA	87118	NR_121212	101927477	Hs.571630	NR_121212		LINC01507	XLOC_000303	long intergenic non-protein coding RNA 1507	ncRNA
154	chr6	169073293	169073792	+	0	NA	Intergenic	Intergenic	5756	NR_134619	102724357	Hs.129310	NR_134619	ENSG00000234519	LOC102724357	-	uncharacterized LOC102724357	ncRNA
249	chr14	31270109	31270608	+	0	NA	Intergenic	LTR28C|LTR|ERV1	-62565	NM_015382	25831	Hs.708017	NM_015382	ENSG00000092148	HECTD1	EULIR	HECT domain E3 ubiquitin protein ligase 1	protein-coding
262	chr17	49110405	49110904	+	0	NA	Intergenic	ERV24B_Prim-int|LTR|ERV1	-21806	NM_001159388	124872	Hs.374679	NM_153446	ENSG00000167080	B4GALNT2	B4GALT|GALGT2	beta-1,4-N-acetyl-galactosaminyltransferase 2	protein-coding
147	chr12	51371461	51371960	+	0	NA	intron (NM_007210, intron 4 of 11)	intron (NM_007210, intron 4 of 11)	-19607	NM_001267615	9498	Hs.4749	NM_004858	ENSG00000050438	SLC4A8	NBC3|NDCBE	solute carrier family 4 member 8	protein-coding
198	chr11	103581696	103582195	+	0	NA	Intergenic	Intergenic	-267961	NR_039842	100616457		NR_039842	ENSG00000264200	MIR4693	-	microRNA 4693	ncRNA
124	chr3	67647431	67647930	+	0	NA	intron (NM_001177599, intron 1 of 10)	intron (NM_001177599, intron 1 of 10)	6934	NM_001177599	8801	Hs.644919	NM_003848	ENSG00000172340	SUCLG2	G-SCS|GBETA|GTPSCS	succinate-CoA ligase GDP-forming beta subunit	protein-coding
113	chr14	31261803	31262302	+	0	NA	Intergenic	Intergenic	-54259	NM_015382	25831	Hs.708017	NM_015382	ENSG00000092148	HECTD1	EULIR	HECT domain E3 ubiquitin protein ligase 1	protein-coding
181	chr7	94183280	94183779	+	0	NA	Intergenic	Intergenic	-179174	NM_005868	10282	Hs.489132	NM_005868	ENSG00000105829	BET1	HBET1	Bet1 golgi vesicular membrane trafficking protein	protein-coding
211	chr22	28116453	28116952	+	0	NA	intron (NM_001145418, intron 6 of 22)	intron (NM_001145418, intron 6 of 22)	-196090	NR_036169	100423034		NR_036169	ENSG00000264073	MIR3199-1	mir-3199-1	microRNA 3199-1	ncRNA
24	chr6	52340069	52340568	+	0	NA	Intergenic	Intergenic	-21833	NM_133367	85315	Hs.239388	NM_133367	ENSG00000170915	PAQR8	C6orf33|LMPB1|MPRB	progestin and adipoQ receptor family member 8	protein-coding
102	chr8	117814839	117815338	+	0	NA	intron (NM_000127, intron 7 of 10)	intron (NM_000127, intron 7 of 10)	105825	NR_145799	109623457		NR_145799		SNORD168	-	small nucleolar RNA, C/D box 168	snoRNA
178	chr12	26274598	26275097	+	0	NA	Intergenic	Intergenic	79274	NM_005086	8082	Hs.183428	NM_005086	ENSG00000123096	SSPN	DAGA5|KRAG|NSPN|SPN1|SPN2	sarcospan	protein-coding
76	chr21	36202128	36202627	+	0	NA	intron (NM_005128, intron 4 of 36)	intron (NM_005128, intron 4 of 36)	37836	NM_005128	9980	Hs.204575	NM_005128	ENSG00000142197	DOP1B	21orf5|C21orf5|DOPEY2	DOP1 leucine zipper like protein B	protein-coding
140	chr12	97396940	97397439	+	0	NA	Intergenic	Intergenic	-65587	NR_152618	196475	Hs.652568	NR_024037	ENSG00000255794	RMST	LINC00054|NCRMS|NCRNA00054	rhabdomyosarcoma 2 associated transcript	ncRNA
276	chr1	248821146	248821645	+	0	NA	intron (NM_001322462, intron 1 of 8)	intron (NM_001322462, intron 1 of 8)	3971	NM_001322462	80851	Hs.298573	NM_030645	ENSG00000175137	SH3BP5L	-	SH3 binding domain protein 5 like	protein-coding
78	chr17	66939694	66940193	+	0	NA	Intergenic	MIR3|SINE|MIR	-24764	NM_014405	27092	Hs.514423	NM_014405	ENSG00000075461	CACNG4	-	calcium voltage-gated channel auxiliary subunit gamma 4	protein-coding
62	chr2	214593701	214594200	+	0	NA	Intergenic	MER67B|LTR|ERV1	83768	NR_047698	100885780	Hs.665982	NR_047698	ENSG00000224257	VWC2L-IT1	-	VWC2L intronic transcript 1	ncRNA
161	chr1	62237831	62238330	+	0	NA	3' UTR (NM_001320269, exon 9 of 9)	3' UTR (NM_001320269, exon 9 of 9)	43231	NM_019079	54596	Hs.685462	NM_019079	ENSG00000240563	L1TD1	ECAT11	LINE1 type transposase domain containing 1	protein-coding
263	chr3	23668355	23668854	+	0	NA	Intergenic	Intergenic	-137351	NM_182666	7324	Hs.164853	NM_003341	ENSG00000170142	UBE2E1	UBCH6	ubiquitin conjugating enzyme E2 E1	protein-coding
195	chr12	10205267	10205766	+	0	NA	Intergenic	MER74B|LTR|ERVL	-7361	NM_031412	23710	Hs.524250	NM_031412	ENSG00000139112	GABARAPL1	APG8-LIKE|APG8L|ATG8|ATG8B|ATG8L|GEC1	GABA type A receptor associated protein like 1	protein-coding
41	chr2	12006624	12007123	+	0	NA	promoter-TSS (NR_110198)	promoter-TSS (NR_110198)	-243	NR_110198	100506457	Hs.197824	NR_110196	ENSG00000224184	MIR3681HG	-	MIR3681 host gene	ncRNA
273	chr10	33133854	33134353	+	0	NA	Intergenic	Intergenic	-17296	NR_160030	101929447		NR_160030		IATPR	TCONS_00018476|linc-ITGB1	ITGB1 adjacent tumor promoting lncRNA	ncRNA
3	chr1	208107764	208108263	+	0	NA	intron (NM_025179, intron 4 of 31)	intron (NM_025179, intron 4 of 31)	136371	NM_025179	5362	Hs.497626	NM_025179	ENSG00000076356	PLXNA2	OCT|PLXN2	plexin A2	protein-coding
171	chr9	124812340	124812839	+	0	NA	3' UTR (NM_001282715, exon 5 of 5)	3' UTR (NM_001282715, exon 5 of 5)	11715	NM_001282715	169611	Hs.357004	NM_182487	ENSG00000185585	OLFML2A	PRO34319	olfactomedin like 2A	protein-coding
13	chr10	117461697	117462196	+	0	NA	Intergenic	Intergenic	-80499	NM_001165924	2018	Hs.202095	NM_004098	ENSG00000170370	EMX2	-	empty spiracles homeobox 2	protein-coding
205	chr6	45445727	45446226	+	0	NA	intron (NM_001015051, intron 5 of 7)	intron (NM_001015051, intron 5 of 7)	23701	NM_001369405	860	Hs.535845	NM_004348	ENSG00000124813	RUNX2	AML3|CBF-alpha-1|CBFA1|CCD|CCD1|CLCD|OSF-2|OSF2|PEA2aA|PEBP2aA	RUNX family transcription factor 2	protein-coding
250	chr4	135160920	135161419	+	0	NA	Intergenic	MER76|LTR|ERVL	-37610	NR_147187	105377439	Hs.570727	NR_147187		LINC02485	-	long intergenic non-protein coding RNA 2485	ncRNA
54	chr13	27195160	27195659	+	0	NA	Intergenic	L3b|LINE|CR1	23150	NR_046548	100874071	Hs.735400	NR_046548		USP12-AS2	-	USP12 antisense RNA 2 (head to head)	ncRNA
188	chr5	142215812	142216311	+	0	NA	Intergenic	Intergenic	102261	NR_131221	100642175	Hs.684549	NR_131221		SPRY4-IT1	SPRIGHTLY	SPRY4 intronic transcript 1	ncRNA
218	chr2	216316708	216317207	+	0	NA	intron (NM_020814, intron 1 of 3)	intron (NM_020814, intron 1 of 3)	55526	NM_020814	57574	Hs.170388	NM_020814	ENSG00000144583	MARCH4	MARCH-IV|RNF174	membrane associated ring-CH-type finger 4	protein-coding
266	chr11	115226539	115227038	+	0	NA	intron (NM_001098517, intron 5 of 8)	intron (NM_001098517, intron 5 of 8)	-106789	NR_135108	105369509	Hs.736064	NR_135108		LOC105369509	-	uncharacterized LOC105369509	ncRNA
168	chr19	40962413	40962912	+	0	NA	Intergenic	Intergenic	-28620	NM_000767	1555	Hs.1360	NM_000767	ENSG00000197408	CYP2B6	CPB6|CYP2B|CYP2B7|CYP2B7P|CYPIIB6|EFVM|IIB1|P450	cytochrome P450 family 2 subfamily B member 6	protein-coding
77	chr16	88118814	88119313	+	0	NA	Intergenic	Intergenic	-18078	NR_120310	400553	Hs.592071	NR_120310	ENSG00000205037	LOC400553	-	uncharacterized LOC400553	ncRNA
15	chr19	30036437	30036936	+	0	NA	Intergenic	L1MC1|LINE|L1	94447	NM_003796	8725	Hs.466391	NM_003796	ENSG00000105176	URI1	C19orf2|NNX3|PPP1R19|RMP|URI	URI1 prefoldin like chaperone	protein-coding
91	chr1	208119937	208120436	+	0	NA	intron (NM_025179, intron 4 of 31)	L2b|LINE|L2	124198	NM_025179	5362	Hs.497626	NM_025179	ENSG00000076356	PLXNA2	OCT|PLXN2	plexin A2	protein-coding
116	chr16	88242702	88243201	+	0	NA	Intergenic	Intergenic	48670	NR_110944	101928880	Hs.634835	NR_110944	ENSG00000260420	LINC02182	LA16c-444G7.2	long intergenic non-protein coding RNA 2182	ncRNA
230	chr1	94793181	94793680	+	0	NA	intron (NR_160783, intron 1 of 3)	MIRb|SINE|MIR	26802	NR_160783	101928079	Hs.596857	NR_104131	ENSG00000224081	SLC44A3-AS1	LINC01057|XLOC_000303	SLC44A3 antisense RNA 1	ncRNA
227	chr2	224679191	224679690	+	0	NA	Intergenic	L2b|LINE|L2	-94043	NM_001257197	8452	Hs.372286	NM_003590	ENSG00000036257	CUL3	CUL-3|PHA2E	cullin 3	protein-coding
84	chr2	27799130	27799629	+	0	NA	intron (NM_022128, intron 7 of 7)	intron (NM_022128, intron 7 of 7)	27660	NM_004891	9553	Hs.515879	NM_004891	ENSG00000243147	MRPL33	C2orf1|L33mt|MRP-L33|RPL33L	mitochondrial ribosomal protein L33	protein-coding
129	chr2	38690477	38690976	+	0	NA	intron (NM_138801, intron 4 of 6)	AluJb|SINE|Alu	24612	NM_138801	130589	Hs.435012	NM_138801	ENSG00000143891	GALM	BLOCK25|GLAT|HEL-S-63p|IBD1	galactose mutarotase	protein-coding
169	chr15	58332143	58332642	+	0	NA	Intergenic	Intergenic	-99599	NM_000236	3990	Hs.654472	NM_000236	ENSG00000166035	LIPC	HDLCQ12|HL|HTGL|LIPH	lipase C, hepatic type	protein-coding
135	chr11	103651819	103652318	+	0	NA	Intergenic	LTR8B|LTR|ERV1	-197838	NR_039842	100616457		NR_039842	ENSG00000264200	MIR4693	-	microRNA 4693	ncRNA
20	chr2	71558557	71559056	+	0	NA	intron (NM_001130985, intron 22 of 54)	intron (NM_001130985, intron 22 of 54)	92107	NM_001130983	8291	Hs.252180	NM_003494	ENSG00000135636	DYSF	FER1L1|LGMD2B|LGMDR2|MMD1	dysferlin	protein-coding
142	chr4	48909610	48910109	+	0	NA	Intergenic	L2c|LINE|L2	-3031	NR_104589	132299	Hs.95835	NM_152398	ENSG00000145247	OCIAD2	-	OCIA domain containing 2	protein-coding
174	chr9	106883629	106884128	+	0	NA	intron (NM_001347997, intron 1 of 12)	intron (NM_001347997, intron 1 of 12)	20712	NM_001347997	58499	Hs.370379	NM_021224	ENSG00000148143	ZNF462	ZFPIP|Zfp462	zinc finger protein 462	protein-coding
128	chr1	223887981	223888480	+	0	NA	Intergenic	Intergenic	-42258	NM_005426	7159	Hs.523968	NM_005426	ENSG00000143514	TP53BP2	53BP2|ASPP2|BBP|P53BP2|PPP1R13A	tumor protein p53 binding protein 2	protein-coding
267	chr11	106386811	106387310	+	0	NA	Intergenic	Intergenic	135653	NR_120551	101928535	Hs.409078	NR_120551	ENSG00000254811	LOC101928535	-	uncharacterized LOC101928535	ncRNA
117	chr17	62824696	62825195	+	0	NA	intron (NR_135634, intron 1 of 1)	MIR3|SINE|MIR	16443	NR_135634	101927877	Hs.434615	NR_135634	ENSG00000265000	MARCH10-DT	-	MARCH10 divergent transcript	ncRNA
226	chr13	41648260	41648759	+	0	NA	intron (NM_015058, intron 37 of 44)	intron (NM_015058, intron 37 of 44)	-80114	NR_049803	100847026		NR_049803	ENSG00000284584	MIR5006	-	microRNA 5006	ncRNA
100	chr12	119176278	119176777	+	0	NA	promoter-TSS (NR_134996)	promoter-TSS (NR_134996)	-43	NR_134996	105370024	Hs.679286	NR_134996	ENSG00000256884	LOC105370024	-	uncharacterized LOC105370024	ncRNA
155	chr2	28596611	28597110	+	0	NA	intron (NR_138141, intron 13 of 35)	intron (NR_138141, intron 13 of 35)	30503	NR_138141	151056	Hs.444933	NM_153021	ENSG00000163803	PLB1	PLB|PLB/LIP	phospholipase B1	protein-coding
189	chr12	52177131	52177630	+	0	NA	intron (NM_182507, intron 4 of 8)	MamGypsy2-I|LTR|Gypsy	14634	NM_001081492	144501	Hs.140978	NM_182507	ENSG00000167767	KRT80	KB20	keratin 80	protein-coding
219	chr4	135164150	135164649	+	0	NA	Intergenic	L2a|LINE|L2	-40840	NR_147187	105377439	Hs.570727	NR_147187		LINC02485	-	long intergenic non-protein coding RNA 2485	ncRNA
