PeakID (cmd=annotatePeaks.pl gain_W281PvW281X.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
127	chr7	96656039	96656538	+	0	NA	intron (NR_038948, intron 2 of 4)	intron (NR_038948, intron 2 of 4)	8050	NR_038948	7979	Hs.489201	NM_006304	ENSG00000127922	SEM1	C7orf76|DSS1|ECD|SHFD1|SHFM1|SHSF1|Shfdg1	SEM1 26S proteasome complex subunit	protein-coding
280	chr19	6580251	6580750	+	0	NA	Intergenic	AluSx|SINE|Alu	10650	NM_001252	970	Hs.501497	NM_001252	ENSG00000125726	CD70	CD27-L|CD27L|CD27LG|LPFS3|TNFSF7|TNLG8A	CD70 molecule	protein-coding
247	chr3	189937541	189938040	+	0	NA	Intergenic	Intergenic	107868	NR_030642	100126340		NR_030642	ENSG00000216058	MIR944	MIRN944|hsa-mir-944|mir-944	microRNA 944	ncRNA
281	chr7	85004426	85004925	+	0	NA	intron (NM_152754, intron 16 of 16)	intron (NM_152754, intron 16 of 16)	117256	NM_152754	223117	Hs.201340	NM_152754	ENSG00000153993	SEMA3D	Sema-Z2|coll-2	semaphorin 3D	protein-coding
172	chr7	107952452	107952951	+	0	NA	intron (NM_002291, intron 22 of 33)	intron (NM_002291, intron 22 of 33)	50460	NM_002291	3912	Hs.650585	NM_002291	ENSG00000091136	LAMB1	CLM|LIS5	laminin subunit beta 1	protein-coding
162	chr4	89674890	89675389	+	0	NA	Intergenic	LTR22|LTR|ERVK	-161262	NR_045481	644248	Hs.553954	NR_045481	ENSG00000247775	SNCA-AS1	-	SNCA antisense RNA 1	ncRNA
118	chr6	47126590	47127089	+	0	NA	Intergenic	L1MCa|LINE|L1	-84507	NM_025048	266977	Hs.733762	NM_025048	ENSG00000153292	ADGRF1	GPR110|KPG_012|PGR19|hGPCR36	adhesion G protein-coupled receptor F1	protein-coding
219	chr6	1481246	1481745	+	0	NA	Intergenic	MLT1O|LTR|ERVL-MaLR	-91084	NR_106778	102466720		NR_106778	ENSG00000275859	MIR6720	hsa-mir-6720|mir-6720	microRNA 6720	ncRNA
65	chr7	17679803	17680302	+	0	NA	Intergenic	Intergenic	-121143	NR_110013	101927630	Hs.583400	NR_110013	ENSG00000236039	LOC101927630	-	uncharacterized LOC101927630	ncRNA
61	chr4	156346957	156347456	+	0	NA	Intergenic	L1M4b|LINE|L1	-393340	NM_001334	1519	Hs.75262	NM_001334	ENSG00000256043	CTSO	CTSO1	cathepsin O	protein-coding
259	chr5	72301993	72302492	+	0	NA	intron (NM_015084, intron 2 of 10)	intron (NM_015084, intron 2 of 10)	17998	NM_001286748	23107	Hs.482491	NM_015084	ENSG00000113048	MRPS27	MRP-S27|S27mt	mitochondrial ribosomal protein S27	protein-coding
158	chr11	60285564	60286063	+	0	NA	intron (NM_024021, intron 2 of 7)	MER11A|LTR|ERVK	5147	NM_024021	51338	Hs.325960	NM_024021	ENSG00000110079	MS4A4A	4SPAN1|CD20-L1|CD20L1|HDCME31P|MS4A4|MS4A7	membrane spanning 4-domains A4A	protein-coding
48	chr5	57693025	57693524	+	0	NA	Intergenic	Intergenic	42614	NR_104668	101928505	Hs.119998	NR_104668		LOC101928505	-	uncharacterized LOC101928505	ncRNA
17	chr5	173764369	173764868	+	0	NA	Intergenic	Intergenic	-18409	NR_108027	101928136	Hs.449267	NR_108027	ENSG00000253686	LINC01484	-	long intergenic non-protein coding RNA 1484	ncRNA
16	chr16	77298472	77298971	+	0	NA	intron (NM_199355, intron 17 of 22)	AluJb|SINE|Alu	99313	NM_001348924	100130958	Hs.734779	NM_001129979	ENSG00000205078	SYCE1L	MRP2	synaptonemal complex central element protein 1 like	protein-coding
252	chrX	44705777	44706276	+	0	NA	Intergenic	MER77B|LTR|ERVL	-137995	NM_022076	63904	Hs.534478	NM_022076	ENSG00000189037	DUSP21	LMWDSP21	dual specificity phosphatase 21	protein-coding
8	chr3	176469726	176470225	+	0	NA	Intergenic	LTR22C2|LTR|ERVK	-45128	NR_107017	102465858		NR_107017	ENSG00000283333	MIR7977	hsa-mir-7977	microRNA 7977	ncRNA
54	chr11	106397846	106398345	+	0	NA	Intergenic	Intergenic	146688	NR_120551	101928535	Hs.409078	NR_120551	ENSG00000254811	LOC101928535	-	uncharacterized LOC101928535	ncRNA
212	chr20	18428678	18429177	+	0	NA	intron (NM_001367611, intron 9 of 20)	intron (NM_001367611, intron 9 of 20)	38103	NM_001367611	55184	Hs.472225	NM_018152	ENSG00000089091	DZANK1	ANKRD64|C20orf12|C20orf84	double zinc ribbon and ankyrin repeat domains 1	protein-coding
104	chr12	50786761	50787260	+	0	NA	intron (NM_005171, intron 2 of 6)	L1MCc|LINE|L1	22909	NM_005171	466	Hs.648565	NM_005171	ENSG00000123268	ATF1	EWS-ATF1|FUS/ATF-1|TREB36	activating transcription factor 1	protein-coding
53	chr4	102405780	102406279	+	0	NA	Intergenic	Intergenic	-60547	NM_001135146	64116	Hs.288034	NM_022154	ENSG00000138821	SLC39A8	BIGM103|CDG2N|LZT-Hs6|PP3105|ZIP8	solute carrier family 39 member 8	protein-coding
59	chr4	128384107	128384606	+	0	NA	Intergenic	Intergenic	-43660	NR_125882	100507487	Hs.549644	NR_125882	ENSG00000251432	LINC02615	-	long intergenic non-protein coding RNA 2615	ncRNA
25	chr9	38682657	38683156	+	0	NA	Intergenic	MER21C|LTR|ERVL	61818	NR_027294	158228	Hs.632652	NR_027294		FAM201A	C9orf122	family with sequence similarity 201 member A	ncRNA
278	chr5	75601755	75602254	+	0	NA	non-coding (NR_144315, exon 14 of 14)	non-coding (NR_144315, exon 14 of 14)	-9472	NM_001276713	728780	Hs.370455	NM_001271529	ENSG00000189045	ANKDD1B	-	ankyrin repeat and death domain containing 1B	protein-coding
268	chrX	45479796	45480295	+	0	NA	Intergenic	L2c|LINE|L2	-25343	NR_104644	101927528	Hs.550772	NR_104644	ENSG00000229563	LINC01204	-	long intergenic non-protein coding RNA 1204	ncRNA
169	chr18	49548259	49548758	+	0	NA	Intergenic	L2a|LINE|L2	-13549	NM_006033	9388	Hs.465102	NM_006033	ENSG00000101670	LIPG	EDL|EL|PRO719	lipase G, endothelial type	protein-coding
179	chr13	39501649	39502148	+	0	NA	intron (NM_005780, intron 2 of 3)	intron (NM_005780, intron 2 of 3)	101295	NM_005780	10186	Hs.507798	NM_005780	ENSG00000183722	LHFPL6	LHFP	LHFPL tetraspan subfamily member 6	protein-coding
91	chr8	117619260	117619759	+	0	NA	Intergenic	L2a|LINE|L2	98796	NM_080651	90390	Hs.492612	NM_080651	ENSG00000164758	MED30	MED30S|THRAP6|TRAP25	mediator complex subunit 30	protein-coding
95	chr7	22583159	22583658	+	0	NA	Intergenic	MLT1G3|LTR|ERVL-MaLR	20071	NR_038393	100506178	Hs.668122	NR_038393	ENSG00000232759	LOC100506178	-	uncharacterized LOC100506178	ncRNA
72	chr7	36971320	36971819	+	0	NA	intron (NM_001206480, intron 16 of 21)	intron (NM_001206480, intron 16 of 21)	13543	NM_001039459	9844	Hs.434989	NM_014800	ENSG00000155849	ELMO1	CED-12|CED12|ELMO-1	engulfment and cell motility 1	protein-coding
21	chr14	31261820	31262319	+	0	NA	Intergenic	Intergenic	-54276	NM_015382	25831	Hs.708017	NM_015382	ENSG00000092148	HECTD1	EULIR	HECT domain E3 ubiquitin protein ligase 1	protein-coding
88	chr5	142215923	142216422	+	0	NA	Intergenic	Intergenic	102150	NR_131221	100642175	Hs.684549	NR_131221		SPRY4-IT1	SPRIGHTLY	SPRY4 intronic transcript 1	ncRNA
105	chr1	171310756	171311255	+	0	NA	Intergenic	HERV9-int|LTR|ERV1	-3178	NM_002022	2329	Hs.386502	NM_002022	ENSG00000076258	FMO4	FMO2	flavin containing dimethylaniline monoxygenase 4	protein-coding
206	chr21	15978382	15978881	+	0	NA	Intergenic	Intergenic	-91857	NR_136542	388815	Hs.473394	NR_027790		MIR99AHG	C21orf34|C21orf35|LINC00478|MONC	mir-99a-let-7c cluster host gene	ncRNA
157	chr3	124401787	124402286	+	0	NA	intron (NM_001024660, intron 13 of 59)	intron (NM_001024660, intron 13 of 59)	27704	NR_106731	102464832		NR_106731	ENSG00000276656	MIR6083	hsa-mir-6083	microRNA 6083	ncRNA
56	chr8	117814868	117815831	+	0	NA	intron (NM_000127, intron 7 of 10)	intron (NM_000127, intron 7 of 10)	105564	NR_145799	109623457		NR_145799		SNORD168	-	small nucleolar RNA, C/D box 168	snoRNA
57	chr6	149233322	149233821	+	0	NA	intron (NM_001292035, intron 2 of 6)	L2c|LINE|L2	15645	NM_001292035	23118	Hs.269775	NM_015093	ENSG00000055208	TAB2	CHTD2|MAP3K7IP2|TAB-2	TGF-beta activated kinase 1 (MAP3K7) binding protein 2	protein-coding
