PeakID (cmd=annotatePeaks.pl gain_WTvW281X.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
3774	chr18	50659041	50660010	+	0	NA	intron (NM_001292039, intron 1 of 4)	intron (NM_001292039, intron 1 of 4)	99438	NM_001292040	5596	Hs.433728	NM_002747	ENSG00000141639	MAPK4	ERK-4|ERK4|PRKM4|p63-MAPK|p63MAPK	mitogen-activated protein kinase 4	protein-coding
8497	chr9	97474435	97475430	+	0	NA	intron (NM_001302884, intron 10 of 15)	intron (NM_001302884, intron 10 of 15)	-26248	NM_001166116	7111	Hs.404289	NM_003275	ENSG00000136842	TMOD1	D9S57E|ETMOD|TMOD	tropomodulin 1	protein-coding
33675	chr3	127746591	127747090	+	0	NA	intron (NM_001003794, intron 3 of 7)	intron (NM_001003794, intron 3 of 7)	73888	NM_172027	80325	Hs.107812	NM_032548	ENSG00000114626	ABTB1	BPOZ|BTB3|BTBD21|EF1ABP|PP2259	ankyrin repeat and BTB domain containing 1	protein-coding
26125	chr8	18731374	18731873	+	0	NA	intron (NM_015310, intron 9 of 15)	intron (NM_015310, intron 9 of 15)	77244	NM_206909	23362	Hs.434255	NM_015310	ENSG00000156011	PSD3	EFA6D|EFA6R|HCA67	pleckstrin and Sec7 domain containing 3	protein-coding
26561	chr10	11687213	11687712	+	0	NA	Intergenic	Intergenic	-54920	NM_024693	79746	Hs.22242	NM_024693	ENSG00000134463	ECHDC3	-	enoyl-CoA hydratase domain containing 3	protein-coding
33375	chr11	108302354	108302853	+	0	NA	intron (NM_001351834, intron 36 of 63)	MIRb|SINE|MIR	79074	NM_001351836	472	Hs.367437	NM_000051	ENSG00000149311	ATM	AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1	ATM serine/threonine kinase	protein-coding
33952	chr5	157390521	157391020	+	0	NA	intron (NM_001037333, intron 30 of 30)	intron (NM_001037333, intron 30 of 30)	-45093	NM_001001343	408263	Hs.437066	NM_001001343	ENSG00000172568	FNDC9	C5orf40	fibronectin type III domain containing 9	protein-coding
24068	chr12	106480191	106480690	+	0	NA	intron (NM_001160708, intron 23 of 27)	intron (NM_001160708, intron 23 of 27)	-102467	NM_213594	5992	Hs.388827	NM_002920	ENSG00000111783	RFX4	NYD-SP10	regulatory factor X4	protein-coding
9872	chr1	86542599	86543098	+	0	NA	Intergenic	Intergenic	-4230	NR_024602	22802	Hs.567422	NM_012128	ENSG00000016602	CLCA4	CaCC|CaCC2	chloride channel accessory 4	protein-coding
25410	chr8	67431538	67432037	+	0	NA	intron (NM_020361, intron 9 of 10)	intron (NM_020361, intron 9 of 10)	87953	NR_136224	102724708	Hs.636330	NR_136223		LOC102724708	-	uncharacterized LOC102724708	ncRNA
16803	chr7	43104791	43105290	+	0	NA	Intergenic	Intergenic	-7607	NM_015052	23072	Hs.164453	NM_015052	ENSG00000002746	HECW1	NEDL1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	protein-coding
22493	chr2	203678983	203679482	+	0	NA	Intergenic	Intergenic	-27243	NM_001243078	940	Hs.443123	NM_006139	ENSG00000178562	CD28	Tp44	CD28 molecule	protein-coding
23450	chr19	7978024	7978523	+	0	NA	intron (NM_001419, intron 3 of 5)	MER21C|LTR|ERVL	27368	NM_001419	1994	Hs.184492	NM_001419	ENSG00000066044	ELAVL1	ELAV1|HUR|Hua|MelG	ELAV like RNA binding protein 1	protein-coding
10442	chr10	17275056	17275555	+	0	NA	Intergenic	Intergenic	-45320	NR_108061	100507347	Hs.740502	NR_108060	ENSG00000229124	VIM-AS1	-	VIM antisense RNA 1	ncRNA
17104	chr3	98827374	98827873	+	0	NA	intron (NM_080927, intron 3 of 15)	intron (NM_080927, intron 3 of 15)	64316	NM_001323367	10402	Hs.148716	NM_006100	ENSG00000064225	ST3GAL6	SIAT10|ST3GALVI	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	protein-coding
7488	chr9	120403253	120403752	+	0	NA	intron (NR_073558, intron 33 of 37)	intron (NR_073558, intron 33 of 37)	-158452	NR_029604	406939		NR_029604	ENSG00000207814	MIR147A	MIR147|MIRN147|hsa-mir-147a	microRNA 147a	ncRNA
25898	chr1	214466715	214467214	+	0	NA	intron (NM_005401, intron 1 of 18)	intron (NM_005401, intron 1 of 18)	84638	NM_005401	5784	Hs.193557	NM_005401	ENSG00000152104	PTPN14	CATLPH|PEZ|PTP36	protein tyrosine phosphatase non-receptor type 14	protein-coding
882	chr4	74109461	74109960	+	0	NA	Intergenic	Intergenic	-10515	NM_002089	2920	Hs.75765	NM_002089	ENSG00000081041	CXCL2	CINC-2a|GRO2|GROb|MGSA-b|MIP-2a|MIP2|MIP2A|SCYB2	C-X-C motif chemokine ligand 2	protein-coding
24142	chr11	69352693	69353192	+	0	NA	Intergenic	MIR|SINE|MIR	58787	NM_001300923	26579	Hs.523848	NM_138768	ENSG00000172927	MYEOV	OCIM	myeloma overexpressed	protein-coding
27365	chr5	56008676	56009175	+	0	NA	Intergenic	Intergenic	13758	NR_102755	441072	Hs.482141	NR_102755	ENSG00000227908	FLJ31104	-	uncharacterized LOC441072	ncRNA
4788	chr10	26781035	26781534	+	0	NA	intron (NM_001012752, intron 2 of 9)	HERVL40-int|LTR|ERVL	79803	NR_145410	10006	Hs.508148	NM_005470	ENSG00000136754	ABI1	ABI-1|ABLBP4|E3B1|NAP1BP|SSH3BP|SSH3BP1	abl interactor 1	protein-coding
21260	chrY	15312103	15312602	+	0	NA	Intergenic	MLT1G|LTR|ERVL-MaLR	-508319	NR_046504	100874056	Hs.743197	NR_046504	ENSG00000228787	NLGN4Y-AS1	NLGN4Y-AS|NLGN4YAS	NLGN4Y antisense RNA 1	ncRNA
22886	chr3	194485435	194485934	+	0	NA	intron (NM_001367549, intron 2 of 33)	intron (NM_001367549, intron 2 of 33)	1318	NM_001367549	79572	Hs.529609	NM_024524	ENSG00000133657	ATP13A3	AFURS1	ATPase 13A3	protein-coding
5086	chr3	175743691	175744190	+	0	NA	intron (NM_207015, intron 12 of 13)	L2a|LINE|L2	32393	NR_046714	100874245	Hs.614827	NR_046714		NAALADL2-AS1	-	NAALADL2 antisense RNA 1	ncRNA
15891	chr1	147600737	147601236	+	0	NA	intron (NM_004326, intron 1 of 9)	intron (NM_004326, intron 1 of 9)	59485	NM_004326	607	Hs.415209	NM_004326	ENSG00000116128	BCL9	LGS	BCL9 transcription coactivator	protein-coding
7282	chr1	209807977	209808476	+	0	NA	Intergenic	Intergenic	-2051	NM_001206696	3664	Hs.591415	NM_006147	ENSG00000117595	IRF6	LPS|OFC6|PIT|PPS|PPS1|VWS|VWS1	interferon regulatory factor 6	protein-coding
21836	chr2	158922571	158923070	+	0	NA	Intergenic	Intergenic	-45814	NM_001350062	85461	Hs.61590	NM_033394	ENSG00000115183	TANC1	ROLSB|TANC	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1	protein-coding
33070	chrX	46318767	46319266	+	0	NA	Intergenic	Intergenic	8658	NR_110388	101927574	Hs.350952	NR_110388	ENSG00000236751	LINC01186	ZNF674-1	long intergenic non-protein coding RNA 1186	ncRNA
29707	chr10	26430612	26431111	+	0	NA	Intergenic	L2|LINE|L2	-7480	NM_019043	54518	Hs.310421	NM_019043	ENSG00000077420	APBB1IP	INAG1|PREL1|RARP1|RIAM	amyloid beta precursor protein binding family B member 1 interacting protein	protein-coding
24826	chr3	136955490	136955989	+	0	NA	Intergenic	MIRb|SINE|MIR	-2244	NM_144717	53833	Hs.61232	NM_144717	ENSG00000174564	IL20RB	DIRS1|FNDC6|IL-20R2	interleukin 20 receptor subunit beta	protein-coding
10039	chr3	118548368	118548867	+	0	NA	intron (NR_135547, intron 3 of 3)	intron (NR_135547, intron 3 of 3)	-93151	NR_135573	101926968	Hs.518185	NR_135573		LOC101926968	-	uncharacterized LOC101926968	ncRNA
25924	chr2	162609323	162609822	+	0	NA	intron (NM_033272, intron 2 of 15)	intron (NM_033272, intron 2 of 15)	-159364	NR_110258	101929570	Hs.470445	NR_110258	ENSG00000237750	LOC101929570	-	uncharacterized LOC101929570	ncRNA
4637	chr11	63581209	63581708	+	0	NA	intron (NM_007069, intron 3 of 3)	MER11A|LTR|ERVK	-18079	NM_017878	54979	Hs.272805	NM_017878	ENSG00000133328	PLAAT2	HRASLS2|PLA1/2-2|PLAAT-2	phospholipase A and acyltransferase 2	protein-coding
12794	chr3	150958734	150959233	+	0	NA	intron (NR_046380, intron 1 of 4)	intron (NR_046380, intron 1 of 4)	-13695	NR_024066	116933	Hs.570680	NR_024066		CLRN1-AS1	CLRN1OS|UCRP	CLRN1 antisense RNA 1	ncRNA
2922	chr9	7237381	7237880	+	0	NA	Intergenic	Intergenic	480280	NR_148677	23081	Hs.709425	NM_015061	ENSG00000107077	KDM4C	GASC1|JHDM3C|JMJD2C|TDRD14C	lysine demethylase 4C	protein-coding
14061	chr1	178684065	178684564	+	0	NA	Intergenic	AluSx|SINE|Alu	6565	NR_039622	100616328		NR_039622	ENSG00000266417	MIR4424	-	microRNA 4424	ncRNA
24699	chr4	89129404	89129903	+	0	NA	Intergenic	L2|LINE|L2	16836	NM_145715	166815	Hs.58924	NM_145715	ENSG00000180346	TIGD2	HEL106	tigger transposable element derived 2	protein-coding
10933	chr6	5763771	5764270	+	0	NA	intron (NM_006567, intron 6 of 6)	intron (NM_006567, intron 6 of 6)	-68748	NR_110842	101927950	Hs.571136	NR_110842	ENSG00000270174	LOC101927950	-	uncharacterized LOC101927950	ncRNA
27060	chr22	29095395	29095894	+	0	NA	intron (NM_001039570, intron 2 of 8)	intron (NM_001039570, intron 2 of 8)	22609	NM_001039570	83999	Hs.229335	NM_032045	ENSG00000183762	KREMEN1	ECTD13|KREMEN|KRM1	kringle containing transmembrane protein 1	protein-coding
8503	chr12	75815291	75815790	+	0	NA	Intergenic	Intergenic	216236	NM_007350	22822	Hs.602085	NM_007350	ENSG00000139289	PHLDA1	DT1P1B11|PHRIP|TDAG51	pleckstrin homology like domain family A member 1	protein-coding
3226	chr1	42370922	42371421	+	0	NA	Intergenic	Intergenic	-9621	NM_173642	284716	Hs.420244	NM_173642	ENSG00000177181	RIMKLA	FAM80A|NAAGS|NAAGS-II	ribosomal modification protein rimK like family member A	protein-coding
14217	chr3	153313472	153313971	+	0	NA	Intergenic	HAL1|LINE|L1	151495	NM_002886	5912	Hs.98643	NM_002886	ENSG00000181467	RAP2B	-	RAP2B, member of RAS oncogene family	protein-coding
33113	chr4	127856606	127857105	+	0	NA	Intergenic	MER76|LTR|ERVL	-24038	NM_001190799	10733	Hs.172052	NM_014264	ENSG00000142731	PLK4	MCCRP2|SAK|STK18	polo like kinase 4	protein-coding
30537	chr8	27993356	27993855	+	0	NA	promoter-TSS (NM_173833)	promoter-TSS (NM_173833)	-932	NM_173833	286133	Hs.591833	NM_173833	ENSG00000168079	SCARA5	NET33|Tesr	scavenger receptor class A member 5	protein-coding
30266	chr3	150647726	150648225	+	0	NA	Intergenic	Intergenic	44654	NM_016275	51714	Hs.369052	NM_016275	ENSG00000198843	SELENOT	SELT	selenoprotein T	protein-coding
9181	chr15	79388878	79389377	+	0	NA	intron (NM_001330376, intron 2 of 2)	L1PB1|LINE|L1	-43389	NM_015206	23251	Hs.301654	NM_015206	ENSG00000169330	MINAR1	KIAA1024|UBTOR	membrane integral NOTCH2 associated receptor 1	protein-coding
1379	chr15	59825880	59826379	+	0	NA	Intergenic	MER5A|DNA|hAT-Charlie	-136809	NM_001320674	663	Hs.592515	NM_004330	ENSG00000140299	BNIP2	BNIP-2|NIP2	BCL2 interacting protein 2	protein-coding
16568	chrX	45424294	45424793	+	0	NA	Intergenic	MER74B|LTR|ERVL	-80845	NR_104644	101927528	Hs.550772	NR_104644	ENSG00000229563	LINC01204	-	long intergenic non-protein coding RNA 1204	ncRNA
24399	chr2	235511278	235511777	+	0	NA	intron (NM_001037131, intron 1 of 17)	intron (NM_001037131, intron 1 of 17)	5776	NR_131900	100506749	Hs.684184	NR_131900	ENSG00000235529	AGAP1-IT1	-	AGAP1 intronic transcript 1	ncRNA
6186	chr3	182118026	182118525	+	0	NA	Intergenic	AmnSINE1|SINE|5S-Deu-L2	165911	NR_104146	100996490	Hs.606987	NR_104146	ENSG00000242512	LINC01206	-	long intergenic non-protein coding RNA 1206	ncRNA
33264	chr4	152147142	152147641	+	0	NA	Intergenic	Intergenic	46573	NR_121627	100996286	Hs.322462	NR_121627	ENSG00000245954	LINC02273	-	long intergenic non-protein coding RNA 2273	ncRNA
26402	chr3	31190009	31190508	+	0	NA	Intergenic	Intergenic	-28471	NR_130459	100423038		NR_130459	ENSG00000265376	MIR466	hsa-mir-466	microRNA 466	ncRNA
12892	chr9	8734700	8735199	+	0	NA	intron (NM_002839, intron 11 of 45)	L2c|LINE|L2	-1003	NM_001171025	5789	Hs.446083	NM_002839	ENSG00000153707	PTPRD	HPTP|HPTPD|HPTPDELTA|PTPD|RPTPDELTA	protein tyrosine phosphatase receptor type D	protein-coding
19548	chr1	55289487	55289986	+	0	NA	Intergenic	Intergenic	64095	NR_039618	100616272		NR_039618	ENSG00000265822	MIR4422	mir-4422	microRNA 4422	ncRNA
20843	chrX	113399905	113400404	+	0	NA	intron (NR_110399, intron 3 of 3)	MER21C|LTR|ERVL	357427	NR_110399	101928437	Hs.640112	NR_110399		LOC101928437	-	uncharacterized LOC101928437	ncRNA
4667	chr7	19863149	19863648	+	0	NA	Intergenic	Intergenic	-89781	NM_001366626	256130	Hs.487670	NM_152774	ENSG00000173452	TMEM196	-	transmembrane protein 196	protein-coding
11946	chr12	101931707	101932206	+	0	NA	Intergenic	Intergenic	54376	NM_018370	55332	Hs.525634	NM_018370	ENSG00000136048	DRAM1	DRAM	DNA damage regulated autophagy modulator 1	protein-coding
31454	chr10	24751673	24752172	+	0	NA	Intergenic	L1M6|LINE|L1	-28035	NM_001367447	57584	Hs.524195	NM_020824	ENSG00000107863	ARHGAP21	ARHGAP10	Rho GTPase activating protein 21	protein-coding
28454	chr14	33362901	33363400	+	0	NA	intron (NM_173159, intron 3 of 11)	intron (NM_173159, intron 3 of 11)	-345787	NR_132771	106635522		NR_132771		SNORA89	-	small nucleolar RNA, H/ACA box 89	snoRNA
550	chr11	68763201	68763700	+	0	NA	intron (NM_001031847, intron 14 of 18)	intron (NM_001031847, intron 14 of 18)	-11930	NM_001039656	9633	Hs.145932	NM_004923	ENSG00000132749	TESMIN	CXCDC2|MTL5|MTLT	testis expressed metallothionein like protein	protein-coding
27274	chr6	114155771	114156270	+	0	NA	intron (NR_125845, intron 6 of 9)	intron (NR_125845, intron 6 of 9)	-93143	NM_153612	222537	Hs.645477	NM_153612	ENSG00000249853	HS3ST5	3-OST-5|3OST5|HS3OST5|NBLA04021	heparan sulfate-glucosamine 3-sulfotransferase 5	protein-coding
15350	chr11	106137001	106137500	+	0	NA	Intergenic	L1M5|LINE|L1	-5134	NR_135099	105369473	Hs.524010	NR_135099	ENSG00000254580	LINC02719	-	long intergenic non-protein coding RNA 2719	ncRNA
14471	chr1	235067430	235067929	+	0	NA	intron (NR_027454, intron 3 of 3)	intron (NR_027454, intron 3 of 3)	2139	NR_027454	731656	Hs.702477	NR_027454		LINC01348	-	long intergenic non-protein coding RNA 1348	ncRNA
28250	chr4	53702548	53703047	+	0	NA	intron (NR_125918, intron 1 of 2)	intron (NR_125918, intron 1 of 2)	6896	NR_125918	100506444	Hs.636176	NR_125918	ENSG00000249341	LOC100506444	-	uncharacterized LOC100506444	ncRNA
32221	chr13	44249276	44249775	+	0	NA	Intergenic	Intergenic	-53325	NR_107046	102465876		NR_107046	ENSG00000276319	MIR8079	hsa-mir-8079	microRNA 8079	ncRNA
31250	chr2	201151284	201151783	+	0	NA	intron (NR_040030, intron 2 of 6)	intron (NR_040030, intron 2 of 6)	6259	NR_040030	65072	Hs.664613	NR_040030	ENSG00000226312	CFLAR-AS1	ALS2CR10	CFLAR antisense RNA 1	ncRNA
17594	chr10	61588642	61589141	+	0	NA	Intergenic	Intergenic	-74038	NM_001366906	219621	Hs.673160	NM_173554	ENSG00000183346	CABCOCO1	C10orf107	ciliary associated calcium binding coiled-coil 1	protein-coding
13310	chr21	42207752	42208251	+	0	NA	intron (NM_207628, intron 3 of 16)	L1MDa|LINE|L1	-8076	NM_207629	9619	Hs.124649	NM_004915	ENSG00000160179	ABCG1	ABC8|WHITE1	ATP binding cassette subfamily G member 1	protein-coding
29261	chr11	33172978	33173477	+	0	NA	intron (NR_034027, intron 1 of 3)	LTR33|LTR|ERVL	11570	NR_034027	338739	Hs.423476	NR_034027	ENSG00000247151	CSTF3-DT	CSTF3-AS1	CSTF3 divergent transcript	ncRNA
1103	chr1	115056368	115056867	+	0	NA	intron (NM_005725, intron 6 of 7)	L2c|LINE|L2	22671	NM_001277991	7252	Hs.406687	NM_000549	ENSG00000134200	TSHB	TSH-B|TSH-BETA	thyroid stimulating hormone subunit beta	protein-coding
27470	chr8	48467057	48467556	+	0	NA	Intergenic	LTR62|LTR|ERVL	-84261	NR_105002	101929268	Hs.683934	NR_105002	ENSG00000253608	LOC101929268	-	uncharacterized LOC101929268	ncRNA
5514	chr7	110534497	110534996	+	0	NA	Intergenic	Intergenic	-556260	NM_001099660	54674	Hs.3781	NM_018334	ENSG00000173114	LRRN3	FIGLER5|NLRR-3|NLRR3	leucine rich repeat neuronal 3	protein-coding
7139	chr8	101356486	101356985	+	0	NA	Intergenic	Intergenic	-12158	NR_002182	83955	Hs.567608	NM_032031	ENSG00000228224	NACA4P	FKSG17|NACAP1	NACA family member 4, pseudogene	pseudo
1402	chr1	178632996	178633495	+	0	NA	Intergenic	Intergenic	-44504	NR_039622	100616328		NR_039622	ENSG00000266417	MIR4424	-	microRNA 4424	ncRNA
26241	chr12	68367865	68368364	+	0	NA	Intergenic	Intergenic	-35700	NM_017440	56890	Hs.655702	NM_017440	ENSG00000111554	MDM1	-	Mdm1 nuclear protein	protein-coding
8236	chr14	64578516	64579015	+	0	NA	intron (NM_172365, intron 8 of 11)	L1PA14|LINE|L1	28804	NM_172365	145376	Hs.144696	NM_172365	ENSG00000165807	PPP1R36	C14orf50	protein phosphatase 1 regulatory subunit 36	protein-coding
12949	chr19	46203028	46203527	+	0	NA	promoter-TSS (NR_135234)	promoter-TSS (NR_135234)	-215	NR_135234	645553	Hs.613068	NR_135234		IGFL2-AS1	-	IGFL2 antisense RNA 1	ncRNA
23962	chr15	59174797	59175296	+	0	NA	intron (NM_004998, intron 19 of 27)	MIR|SINE|MIR	-3784	NR_031750	100313886		NR_031750	ENSG00000253030	MIR2116	mir-2116	microRNA 2116	ncRNA
34058	chr4	40492731	40493230	+	0	NA	intron (NM_001098634, intron 2 of 6)	intron (NM_001098634, intron 2 of 6)	9139	NR_039966	100616274		NR_039966	ENSG00000263642	MIR4802	-	microRNA 4802	ncRNA
20092	chr7	36785056	36785555	+	0	NA	Intergenic	Intergenic	-60756	NM_001177507	313	Hs.488007	NM_001637	ENSG00000136250	AOAH	-	acyloxyacyl hydrolase	protein-coding
11622	chr10	15451440	15451939	+	0	NA	Intergenic	Intergenic	-80400	NM_001010924	221061	Hs.66762	NM_001010924	ENSG00000148468	FAM171A1	APCN|C10orf38	family with sequence similarity 171 member A1	protein-coding
14632	chr4	103840045	103840544	+	0	NA	Intergenic	MLT1J|LTR|ERVL-MaLR	-120309	NM_001059	6870	Hs.942	NM_001059	ENSG00000169836	TACR3	HH11|NK-3R|NK3|NK3R|NKR|TAC3R|TAC3RL	tachykinin receptor 3	protein-coding
12043	chr16	77308173	77308672	+	0	NA	intron (NM_199355, intron 16 of 22)	intron (NM_199355, intron 16 of 22)	109014	NM_001129979	100130958	Hs.734779	NM_001129979	ENSG00000205078	SYCE1L	MRP2	synaptonemal complex central element protein 1 like	protein-coding
20171	chr5	40660723	40661222	+	0	NA	Intergenic	AluJb|SINE|Alu	-18943	NM_000958	5734	Hs.199248	NM_000958	ENSG00000171522	PTGER4	EP4|EP4R	prostaglandin E receptor 4	protein-coding
12987	chr7	115533267	115533766	+	0	NA	Intergenic	MLT1J1|LTR|ERVL-MaLR	47925	NR_145801	109623459		NR_145801	ENSG00000202377	SNORA25B	-	small nucleolar RNA, H/ACA box 25B	snoRNA
33460	chr12	10339376	10339875	+	0	NA	Intergenic	AluSz6|SINE|Alu	-1333	NR_159946	113523642	Hs.539490	NR_159946		LINC02617	-	long intergenic non-protein coding RNA 2617	ncRNA
834	chr4	107896062	107896561	+	0	NA	intron (NM_152621, intron 2 of 5)	intron (NM_152621, intron 2 of 5)	3047	NM_152621	166929	Hs.595423	NM_152621	ENSG00000164023	SGMS2	SMS2	sphingomyelin synthase 2	protein-coding
18080	chr13	32220180	32220679	+	0	NA	intron (NM_023037, intron 36 of 60)	intron (NM_023037, intron 36 of 60)	91525	NM_001136571	646799	Hs.569254	NM_001136571	ENSG00000189167	ZAR1L	Z3CXXC7|ZAR2	zygote arrest 1 like	protein-coding
17859	chr6	151628056	151628555	+	0	NA	Intergenic	MIRb|SINE|MIR	-62191	NM_001122742	2099	Hs.208124	NM_000125	ENSG00000091831	ESR1	ER|ESR|ESRA|ESTRR|Era|NR3A1	estrogen receptor 1	protein-coding
21540	chr6	27882637	27883136	+	0	NA	Intergenic	MER41A|LTR|ERV1	7906	NM_003535	8356	Hs.484990	NM_003535	ENSG00000197153	HIST1H3J	H3/j|H3FJ	histone cluster 1 H3 family member j	protein-coding
22839	chr8	27617039	27617538	+	0	NA	Intergenic	L3b|LINE|CR1	-2588	NM_001831	1191	Hs.436657	NM_001831	ENSG00000120885	CLU	AAG4|APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2	clusterin	protein-coding
14332	chr1	244694630	244695129	+	0	NA	intron (NM_016076, intron 4 of 4)	MER58B|DNA|hAT-Charlie	41753	NM_016076	51029	Hs.498317	NM_016076	ENSG00000121644	DESI2	C1orf121|CGI-146|DESI|DESI1|DeSI-2|FAM152A|PNAS-4|PPPDE1	desumoylating isopeptidase 2	protein-coding
32583	chr10	45652646	45653145	+	0	NA	intron (NM_174890, intron 3 of 9)	intron (NM_174890, intron 3 of 9)	19837	NM_001282905	93550	Hs.89029	NM_174890	ENSG00000172671	ZFAND4	ANUBL1	zinc finger AN1-type containing 4	protein-coding
11322	chr12	31746747	31747246	+	0	NA	Intergenic	Charlie25|DNA|hAT-Charlie	-17822	NM_001278412	196394	Hs.585084	NM_001113402	ENSG00000151743	AMN1	-	antagonist of mitotic exit network 1 homolog	protein-coding
7169	chr4	141246184	141246683	+	0	NA	Intergenic	MamRTE1|LINE|RTE-BovB	25538	NM_001292002	27309	Hs.120766	NM_014487	ENSG00000109445	ZNF330	HSA6591|NOA36	zinc finger protein 330	protein-coding
8266	chr15	48759838	48760337	+	0	NA	intron (NM_014985, intron 19 of 25)	intron (NM_014985, intron 19 of 25)	50982	NM_014985	22995	Hs.443005	NM_014985	ENSG00000103995	CEP152	MCPH4|MCPH9|SCKL5	centrosomal protein 152	protein-coding
