Intensity 01	Intensity 02	Intensity 03	Intensity 04	Intensity 05	Intensity 06	Intensity 07	Intensity 08	Intensity 09	Intensity 10	C: Only identified by site	C: Reverse	C: Potential contaminant	C: Taxonomy IDs	C: Taxonomy names	C: Student's T-test Significant WT281_W281P	C: Student's T-test significant	C: Student's T-test Significant WT281_W281X	C: Student's T-test significant_	C: Student's T-test Significant W281P_W281X	C: Student's T-test significant__	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: iBAQ peptides	N: MS/MS count	N: -Log Student's T-test p-value WT281_W281P	N: Student's T-test Difference WT281_W281P	N: Student's T-test Test statistic WT281_W281P	N: -Log Student's T-test p-value WT281_W281X	N: Student's T-test Difference WT281_W281X	N: Student's T-test Test statistic WT281_W281X	N: -Log Student's T-test p-value W281P_W281X	N: Student's T-test Difference W281P_W281X	N: Student's T-test Test statistic W281P_W281X	T: Protein IDs	T: Majority protein IDs	T: Protein names	T: Gene names	T: id
18.7714	17.1907	17.2557	20.1049	19.2878	19.0004	19.4726	18.4844	19.5647	17.6988			#ERROR!	-1								29	1	0	49.5	3	0	59.998	0.0074166	7.7447	2306600	36	2	0.522176	0.93017	1.18819	0.121779	0.294557	0.333543	0.226096	-0.635613	-0.578134	CON__P04259	CON__P04259			15
34.5441	31.1042	32.1488	30.704	32.422	31.7623	33.8502	30.5151	33.8096	30.1833			#ERROR!	-1								56	53	24	87.4	85.9	58.2	53.704	0	323.31	76561000000	32	1401	0.143667	0.563408	0.387174	0.274585	0.724079	0.684269	0.0469754	0.160671	0.13723	P05787;CON__P05787;CON__Q9H552;P08729;CON__P08729;CON__Q3KNV1;Q9NSB2;CON__Q9NSB2;CON__Q6ISB0;CON__H-INV:HIT000016045;P14136;CON__P78385;CON__Q14533;CON__O43790;CON__P78386;P78386;P78385;CON__Q61726;Q14533;O43790;CON__Q6NT21	P05787;CON__P05787	Keratin, type II cytoskeletal 8	KRT8	17
20.0539	19.4821	24.4086	23.4165	24.2506	25.6601	24.6545	25.0839	25.3295	24.0969			#ERROR!	-1								22	19	11	49.5	44.6	28.5	51.267	0	212.66	230350000	35	98	0.398957	1.6935	0.943023	0.0860588	0.167952	0.242609	0.331823	-1.52555	-0.805328	CON__P08779;P08779;CON__Q9Z2K1;CON__Q3ZAW8	CON__P08779;P08779	Keratin, type I cytoskeletal 16	KRT16	18
18.9162	22.4628	22.3091	23.2743	22.6819	22.8112	23.0378	22.7939	22.2869	23.4546			#ERROR!	-1								5	5	5	20.6	20.6	20.6	38.418	0	52.089	68201000	17	38	0.0975434	0.10305	0.272349	0.0454898	0.0396372	0.133082	0.0474113	-0.0634123	-0.138444	CON__P12763	CON__P12763			19
26.4997	26.3228	29.3406	29.4424	29.3702	29.3574	29.9392	29.2838	29.2454	28.6398			#ERROR!	-1								34	32	28	57.5	55.1	51.8	59.51	0	323.31	5707500000	28	483	0.732754	1.46167	1.59916	0.293942	0.150925	0.725662	0.666966	-1.31074	-1.47083	CON__P13645;P13645;CON__P02535-1;CON__Q7Z3Y7;Q7Z3Y7;CON__Q148H6;CON__Q2M2I5;Q2M2I5	CON__P13645;P13645	Keratin, type I cytoskeletal 10	KRT10	20
21.3604	21.2012	25.2163	24.3587	24.5539	24.9759	24.8449	24.5741	24.0601	24.3278			#ERROR!	-1								27	13	4	39	22.4	7.6	62.378	0	94.046	216880000	35	83	0.65834	1.46124	1.45403	0.285713	-0.19267	-0.708126	0.734009	-1.65391	-1.60162	CON__P13647;P13647	CON__P13647;P13647	Keratin, type II cytoskeletal 5	KRT5	22
30.6075	31.1666	30.8596	30.5722	30.5001	31.1321	31.4701	30.5501	30.1734	31.197			#ERROR!	-1								12	12	12	22.2	22.2	22.2	68.124	0	323.31	19683000000	25	501	0.00393371	-0.00554212	-0.0120228	0.0135438	-0.0145124	-0.0409536	0.00790219	-0.00897026	-0.0240441	CON__P15636	CON__P15636			23
18.7671	18.1647	18.7273	20.6423	18.8866	19.666	19.4457	17.1739	17.9497	20.1659			#ERROR!	-1								7	2	2	13.5	5.1	5.1	63.91	0.002681	11.719	5571400	36	3	0.0937882	-0.258043	-0.26268	0.598968	-1.17646	-1.33837	0.439497	-0.918415	-1.02453	CON__P19013;P19013	CON__P19013;P19013	Keratin, type II cytoskeletal 4	KRT4	24
19.2643	16.7835	21.442	20.6576	22.2355	20.534	20.8206	22.0411	21.8587	22.0892			#ERROR!	-1								40	1	1	78.3	5.6	5.6	65.865	0	12.792	25392000	41	8	0.336123	1.45525	0.814273	0.71295	0.821177	1.56048	0.133062	-0.634069	-0.361369	CON__P35908	CON__P35908			25
25.1985	24.9159	28.2768	28.4808	28.5979	28.3464	29.292	28.2172	28.2052	27.8815			#ERROR!	-1								40	34	1	78.1	71.5	4.7	65.432	0	323.31	3043600000	42	381	0.711076	1.70151	1.55682	0.449226	0.334374	1.04395	0.581375	-1.36714	-1.30405	CON__P35908v2;P35908	CON__P35908v2;P35908	Keratin, type II cytoskeletal 2 epidermal	KRT2	26
23.5837	19.8186	23.7177	23.3926	24.3508	25.9077	23.61	25.3861	25.3701	24.3417			#ERROR!	-1								29	17	1	49.5	35.1	3	60.024	0	126.73	243930000	36	83	0.288559	1.27215	0.714202	0.0395065	0.109622	0.116262	0.2444	-1.16253	-0.618646	CON__P48668;P48668;CON__P02538;P02538	CON__P48668;P48668;CON__P02538;P02538	Keratin, type II cytoskeletal 6C;Keratin, type II cytoskeletal 6A	KRT6C;KRT6A	27
19.3422	17.5716	20.1964	20.1766	20.5816	20.996	20.9384	20.8661	21.9455	21.0305			#ERROR!	-1								9	2	2	17.6	4.8	4.8	48.161	0	19.113	16813000	33	8	0.173704	0.612847	0.458588	0.510395	0.339059	1.16503	0.0704956	-0.273788	-0.201462	CON__Q9QWL7;CON__Q04695;Q04695	CON__Q9QWL7;CON__Q04695;Q04695	Keratin, type I cytoskeletal 17	KRT17	28
18.5636	20.2228	20.3302	21.4196	21.1341	21.4072	21.6235	20.7982	18.429	20.8023			#ERROR!	-1								2	2	2	5.2	5.2	5.2	65.056	0	30.366	17313000	31	13	0.842273	1.36724	1.81452	0.111058	0.132918	0.306724	0.703496	-1.23432	-1.54203	CON__Q1RMK2	CON__Q1RMK2			29
17.812	19.2449	22.593	22.8914	22.5383	22.5383	22.6052	22.7591	21.1552	22.1145			#ERROR!	-1								2	2	2	14.5	14.5	14.5	24.536	0	56.782	47265000	10	32	0.99574	1.796	2.12313	0.113749	-0.0400352	-0.313491	1.01313	-1.83604	-2.15878	CON__Q1RMN8	CON__Q1RMN8			30
23.0824	16.5417	16.658	22.0354	22.2258	20.7279	22.8396	18.9426	23.5967	19.3591			#ERROR!	-1								8	3	2	11.3	4.4	2.2	58.923	0	19.263	40013000	34	17	0.250283	1.50346	0.631547	0.30848	1.52888	0.756434	0.00318062	0.0254186	0.00972938	CON__Q32MB2;Q86Y46	CON__Q32MB2;Q86Y46	Keratin, type II cytoskeletal 73	KRT73	31
18.5203	18.5428	20.4453	19.6186	19.8777	20.2634	22.8842	17.7087	21.2721	19.5568			#ERROR!	-1								10	1	1	12.2	3	3	70.922	0.0075	8.2642	14695000	43	6	0.075803	0.366283	0.215609	0.0103495	0.0477778	0.0314049	0.141288	-0.318506	-0.381414	CON__Q3TTY5	CON__Q3TTY5			33
18.4322	16.5816	21.1033	22.3192	22.6117	22.0739	22.7753	19.2906	18.5331	22.3624			#ERROR!	-1								2	2	2	1	1	1	248.07	0	12.691	31901000	72	11	0.51554	2.40016	1.17515	0.0806848	-0.272947	-0.228515	0.701466	-2.67311	-1.53807	CON__Q5D862;Q5D862	CON__Q5D862;Q5D862	Filaggrin-2	FLG2	34
19.4378	17.9109	20.743	20.6164	20.1206	19.4422	20.5844	20.9638	19.3493	20.5479			#ERROR!	-1								7	4	4	13.8	9	9	56.964	0	23.469	10365000	35	10	0.737223	1.28687	1.6079	0.236639	0.289071	0.601541	0.502856	-0.997802	-1.15018	CON__Q7RTT2;CON__Q8N1N4-2;Q8N1N4	CON__Q7RTT2;CON__Q8N1N4-2;Q8N1N4	Keratin, type II cytoskeletal 78	KRT78	38
18.1496	15.895	18.9575	20.5494	20.9896	19.8	19.7812	20.4463	18.0337	19.2097			#ERROR!	-1								4	2	2	9.2	5.2	5.2	49.823	0	12.267	7465700	26	9	1.22668	2.69289	2.61135	0.478699	0.636707	1.10248	0.892823	-2.05618	-1.91511	CON__Q7Z3Y8;Q7Z3Y8;CON__Q7Z3Z0;Q7Z3Z0	CON__Q7Z3Y8;Q7Z3Y8;CON__Q7Z3Z0;Q7Z3Z0	Keratin, type I cytoskeletal 27;Keratin, type I cytoskeletal 25	KRT27;KRT25	39
19.3663	19.6889	24.1561	22.8344	21.4185	22.39	21.7645	22.5903	22.0106	22.3182			#ERROR!	-1								8	8	8	16.6	16.6	16.6	282.39	0	66.781	55325000	104	23	0.258923	0.585208	0.650395	0.883325	-1.20238	-1.89614	0.842492	-1.78759	-1.81496	CON__Q86YZ3;Q86YZ3	CON__Q86YZ3;Q86YZ3	Hornerin	HRNR	40
30.418	17.7947	16.4714	26.7752	21.8587	18.7221	17.5739	26.4349	29.16	26.0643			#ERROR!	-1								12	3	0	14.5	4.1	0	57.552	0	18.202	2314000000	32	12	0.218456	-2.38384	-0.561049	0.116996	1.29962	0.321625	0.32845	3.68347	0.7983	CON__Q8VED5;CON__Q14CN4-1;CON__Q6IME9;Q14CN4	CON__Q8VED5			41
19.5409	16.0228	16.929	20.6239	24.9771	26.3466	27.7311	25.925	22.6084	24.4091			#ERROR!	-1								2	2	2	1.8	1.8	1.8	56.682	0	14.507	433530000	32	4	0.907201	5.19762	1.94389	0.794144	4.91122	1.71952	0.0256422	-0.286401	-0.0765387	CON__Q9NSB4;Q9NSB4	CON__Q9NSB4;Q9NSB4	Keratin, type II cuticular Hb2	KRT82	43
18.9931	17.1131	18.6203	19.015	20.0839	20.3439	17.9969	19.4195	18.9285	17.1317			#ERROR!	-1								8	2	1	12.4	4.2	2.3	57.382	0.0064516	11.066	3934700	34	4	0.771535	1.44235	1.6751	0.0691509	-0.159606	-0.197859	0.940794	-1.60196	-2.01148	CON__Q9R0H5;CON__Q3SY84;Q3SY84	CON__Q9R0H5;CON__Q3SY84;Q3SY84	Keratin, type II cytoskeletal 71	KRT71	44
20.1788	18.5655	22.5346	23.0959	23.0764	23.1749	22.0292	21.8277	22.8904	22.6369				-1								4	4	4	2.6	2.6	2.6	205.42	0	47.051	57230000	107	33	0.259338	0.946839	0.651295	0.64601	-0.624026	-1.43002	0.482287	-1.57086	-1.10958	E9PAV3;Q13765;Q9BZK3	E9PAV3;Q13765	Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha	NACA	45
23.2932	21.4294	21.7097	21.4049	20.7899	22.0339	21.3427	21.3447	22.2116	21.4063				-1								2	2	2	21.1	21.1	21.1	14.234	0	13.131	38376000	8	11	0.744333	-0.523321	-1.62181	1.00949	-0.557046	-2.1513	0.0355623	-0.0337251	-0.105071	E9PRG8	E9PRG8	Uncharacterized protein C11orf98	C11orf98	46
23.8679	18.9843	22.2618	23.5801	22.9817	22.9352	23.0989	22.7237	23.0769	21.702				-1								16	16	16	21.1	21.1	21.1	121.68	0	102.64	77870000	67	48	0.62626	1.68034	1.39155	0.00746236	0.00900523	0.022717	0.592195	-1.67133	-1.32516	O00159	O00159	Unconventional myosin-Ic	MYO1C	48
27.9847	25.2643	26.4222	25.6371	25.4408	25.9246	24.8968	24.6349	26.6016	25.982				-1				#ERROR!	WT281_W281X			23	23	20	48.2	48.2	42.5	63.704	0	208.34	782650000	34	178	0.991104	-0.958464	-2.11365	1.41625	-1.00379	-3.04143	0.0340951	-0.0453294	-0.100886	O00425	O00425	Insulin-like growth factor 2 mRNA-binding protein 3	IGF2BP3	53
19.9804	15.7171	17.9814	18.8438	18.4702	20.2937	18.073	17.2502	20.0591	19.5332				-1								2	2	2	3.2	3.2	3.2	68.002	0.006402	10.934	3758300	36	2	0.131375	-0.505314	-0.357235	0.656406	-1.10847	-1.45026	0.147078	-0.603159	-0.395404	O00541	O00541	Pescadillo homolog	PES1	54
23.4403	21.5428	22.2873	21.712	21.454	21.7579	22.3025	21.5046	22.3226	21.904				-1								10	10	10	23.9	23.9	23.9	66.049	0	88.17	46728000	36	33	0.181523	-0.16943	-0.476805	0.191394	-0.165389	-0.499604	0.00454236	0.00404104	0.0138734	O00567	O00567	Nucleolar protein 56	NOP56	55
27.8913	24.4702	25.5042	25.0223	26.2436	25.3663	26.3427	24.4521	26.7253	24.5417				-1								27	26	9	54.5	52.9	19.8	73.243	0	305.7	719990000	40	162	0.170434	0.433718	0.450925	0.238337	0.381831	0.605291	0.0229956	-0.0518869	-0.0688304	O00571;Q9NQI0	O00571	ATP-dependent RNA helicase DDX3X	DDX3X	56
18.5628	25.0013	24.7503	25.3307	26.8785	24.7555	27.5511	26.5976	24.492	24.9399				-1		#ERROR!	WT281_W281P	#ERROR!	WT281_W281X			45	45	42	33.2	33.2	31.5	242.04	0	323.31	609690000	77	234	2.60206	2.19802	6.75823	2.41886	2.0636	6.03012	0.20741	-0.134425	-0.536147	O14497	O14497	AT-rich interactive domain-containing protein 1A	ARID1A	57
19.9346	19.3944	20.3447	21.4775	21.9636	21.5629	21.3542	20.6371	20.6572	22.0316				-1								2	2	2	13.2	13.2	13.2	21.054	0	13.864	23383000	7	11	0.296833	0.623901	0.731802	0.126858	0.189923	0.346118	0.194416	-0.433978	-0.506541	O14683	O14683	Tumor protein p53-inducible protein 11	TP53I11	58
23.2225	20.0917	17.5297	20.8235	20.712	21.1762	20.9093	18.6996	22.9591	21.5162				-1								5	5	5	6.6	6.6	6.6	123.9	0	29.879	30396000	50	15	0.579821	-1.4154	-1.30102	0.06776	0.263807	0.194123	0.516755	1.67921	1.17753	O14776	O14776	Transcription elongation regulator 1	TCERG1	59
21.7136	16.978	19.4945	16.9478	20.8783	20.1064	20.0336	18.3696	17.9921	18.427				-1								1	1	1	8.6	8.6	8.6	16.516	0.0074349	7.8252	8307200	8	8	1.08116	1.96147	2.29983	0.305044	0.910961	0.749184	0.423646	-1.05051	-0.992781	O14880	O14880	Microsomal glutathione S-transferase 3	MGST3	60
