Intensity 01_rerun	Intensity 02	Intensity 03	Intensity 04	Intensity 05	Intensity 06	Intensity 07	Intensity 08	Intensity 09	Intensity 10	C: Reverse	C: Potential contaminant	C: Taxonomy IDs	C: Student's T-test Significant I315I_I315R	C: Student's T-test significant	C: Student's T-test Significant I315I_I315X	C: Student's T-test significant_	C: Student's T-test Significant I315R_I315X	C: Student's T-test significant__	C: Student's T-test Significant I315R_I315X_	C: Student's T-test significant___	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: iBAQ peptides	N: MS/MS count	N: -Log Student's T-test p-value I315I_I315R	N: Student's T-test Difference I315I_I315R	N: Student's T-test Test statistic I315I_I315R	N: -Log Student's T-test p-value I315I_I315X	N: Student's T-test Difference I315I_I315X	N: Student's T-test Test statistic I315I_I315X	N: -Log Student's T-test p-value I315R_I315X	N: Student's T-test q-value I315R_I315X	N: Student's T-test Difference I315R_I315X	N: Student's T-test Test statistic I315R_I315X	N: -Log Student's T-test p-value I315R_I315X_	N: Student's T-test Difference I315R_I315X_	N: Student's T-test Test statistic I315R_I315X_	T: Protein IDs	T: Majority protein IDs	T: Protein names	T: Gene names	T: id
19.5874	19.6874	21.4995	19.3166	22.1408	18.479	20.438	17.4905	18.3507	18.9562			-1			#ERROR!	I315I_I315X			#ERROR!	I315R_I315X	2	2	2	10.4	10.4	10.4	26.152	0	3.2852	12169000	11	7	0.131599	0.251248	0.357783	1.73866	-2.52041	-3.85316	1.6847	0.5882	-2.77165	-3.70923	1.6847	-2.77165	-3.70923	P17931	P17931	Galectin-3	LGALS3	221
17.827	21.2793	18.4197	21.2105	18.6075	18.3898	18.2923	19.2115	21.1953	20.4412			-1							#ERROR!	I315R_I315X	2	2	2	15.5	15.5	15.5	12.538	0	2.6068	9403700	9	2	0.00012218	0.000417709	0.000375052	0.904102	1.84831	1.93768	1.45602	0.576343	1.84789	3.13569	1.45602	1.84789	3.13569	P18077	P18077	60S ribosomal protein L35a	RPL35A	223
19.7353	19.3046	20.4866	17.9745	21.336	15.9257	19.6089	18.9018	20.3419	18.8125			-1							#ERROR!	I315R_I315X	2	2	2	6.8	6.8	6.8	54.416	0	7.4173	7765200	29	3	0.00937746	-0.0389001	-0.0284861	0.616281	-1.95312	-1.37211	1.5251	0.612	-1.91422	-3.3031	1.5251	-1.91422	-3.3031	P26196	P26196	Probable ATP-dependent RNA helicase DDX6	DDX6	259
20.5534	20.8149	21.4304	21.0906	21.5956	18.9186	21.3644	21.0939	18.2174	20.6727			-1							#ERROR!	I315R_I315X	2	2	2	4.6	4.6	4.6	45.73	0.005814	1.9263	18221000	14	3	0.97192	-1.63544	-2.07455	1.29189	-2.1465	-2.75591	1.51558	0.560258	-0.511061	-3.27974	1.51558	-0.511061	-3.27974	P31249;P09629;P28358;Q9UD57;P31270;Q99626;Q00056;P52952;Q9GZZ0;Q07687;P78367;P49639;P31277;Q6ZNG2;Q9NYD6;O43248;A6NMT0;P52951;Q9NP08;P28356;A6NHT5;Q14549;Q8TAU0;P50219;P31260;Q15270;P14651;Q9BZM3;P28360;Q00444;A6NCS4;P17509;P31268;P31267;Q99801;P09630;P31273;P17481;P17482;P17483;P09016;P31274;Q9H4S2;P09017;P47902;P35548;P09067;P20719;P35452;P31269;P31275;P52945;O14627;O60479;P13378;P14653;O43365	P31249;P09629;P28358;Q9UD57;P31270;Q99626;Q00056;P52952;Q9GZZ0;Q07687;P78367;P49639;P31277;Q6ZNG2;Q9NYD6;O43248;A6NMT0;P52951;Q9NP08;P28356;A6NHT5;Q14549;Q8TAU0;P50219;P31260;Q15270;P14651;Q9BZM3;P28360;Q00444;A6NCS4;P17509;P31268;P31267;Q99801;P09630;P31273;P17481;P17482;P17483;P09016;P31274;Q9H4S2;P09017;P47902;P35548;P09067;P20719;P35452;P31269;P31275;P52945;O14627;O60479;P13378;P14653;O43365	Homeobox protein Hox-D3;Homeobox protein Hox-B7;Homeobox protein Hox-D10;NK1 transcription factor-related protein 2;Homeobox protein Hox-A11;Homeobox protein CDX-2;Homeobox protein Hox-A4;Homeobox protein Nkx-2.5;Homeobox protein Hox-D1;Homeobox protein DLX-2;Homeobox protein Nkx-3.2;Homeobox protein Hox-A1;Homeobox protein Hox-D11;Homeobox protein DBX2;Homeobox protein Hox-C10;Homeobox protein Hox-C11;Homeobox protein DBX1;Homeobox protein GBX-2;Homeobox protein HMX1;Homeobox protein Hox-D9;Homeobox protein HMX3;Homeobox protein GBX-1;Homeobox protein Nkx-2.3;Motor neuron and pancreas homeobox protein 1;Homeobox protein Hox-A10;NK1 transcription factor-related protein 1;Homeobox protein Hox-B3;GS homeobox 2;Homeobox protein MSX-1;Homeobox protein Hox-C5;Homeobox protein Nkx-2.6;Homeobox protein Hox-B6;Homeobox protein Hox-A7;Homeobox protein Hox-A6;Homeobox protein Nkx-3.1;Homeobox protein Hox-C6;Homeobox protein Hox-C8;Homeobox protein Hox-B8;Homeobox protein Hox-B9;Homeobox protein Hox-B4;Homeobox protein Hox-D4;Homeobox protein Hox-C9;GS homeobox 1;Homeobox protein Hox-C4;Homeobox protein CDX-1;Homeobox protein MSX-2;Homeobox protein Hox-B5;Homeobox protein Hox-A5;Homeobox protein Hox-D12;Homeobox protein Hox-A9;Homeobox protein Hox-C12;Pancreas/duodenum homeobox protein 1;Homeobox protein CDX-4;Homeobox protein DLX-3;Homeobox protein Hox-D8;Homeobox protein Hox-B1;Homeobox protein Hox-A3	HOXD3;HOXB7;HOXD10;NKX1-2;HOXA11;CDX2;HOXA4;NKX2-5;HOXD1;DLX2;NKX3-2;HOXA1;HOXD11;DBX2;HOXC10;HOXC11;DBX1;GBX2;HMX1;HOXD9;HMX3;GBX1;NKX2-3;MNX1;HOXA10;NKX1-1;HOXB3;GSX2;MSX1;HOXC5;NKX2-6;HOXB6;HOXA7;HOXA6;NKX3-1;HOXC6;HOXC8;HOXB8;HOXB9;HOXB4;HOXD4;HOXC9;GSX1;HOXC4;CDX1;MSX2;HOXB5;HOXA5;HOXD12;HOXA9;HOXC12;PDX1;CDX4;DLX3;HOXD8;HOXB1;HOXA3	276
20.7595	18.7362	21.0731	17.3226	21.6774	18.6384	19.0724	17.5151	18.6052	18.0973			-1	#ERROR!	I315I_I315R					#ERROR!	I315R_I315X	4	3	3	30.8	25.3	25.3	21.892	0	7.8859	8574800	11	5	1.89721	1.01495	4.29752	1.16203	-1.94767	-2.47116	1.64633	0.540174	-2.96261	-3.60898	1.64633	-2.96261	-3.60898	P32119	P32119	Peroxiredoxin-2	PRDX2	281
23.7596	24.2376	25.6087	24.031	25.8652	21.4737	25.3163	24.2318	22.2481	23.7351			-1			#ERROR!	I315I_I315X			#ERROR!	I315R_I315X	9	9	9	10.4	10.4	10.4	178.19	0	78.268	246750000	61	57	0.738695	-1.34616	-1.61078	1.60832	-2.94359	-3.51133	2.76126	0.256	-1.59743	-7.45157	2.76126	-1.59743	-7.45157	P39060	P39060	Collagen alpha-1(XVIII) chain;Endostatin	COL18A1	314
19.895	19.3988	20.7418	18.9231	19.9233	18.5394	19.7515	18.7838	18.8785	18.8157			-1			#ERROR!	I315I_I315X			#ERROR!	I315R_I315X	4	2	2	19.9	10.5	10.5	32.949	0	3.3322	7569400	15	4	0.143519	0.0980295	0.386816	1.41571	-1.19996	-3.04016	1.86643	0.556923	-1.29799	-4.20864	1.86643	-1.29799	-4.20864	P47755	P47755	F-actin-capping protein subunit alpha-2	CAPZA2	341
23.5929	23.9983	24.2008	23.6456	24.2064	22.9706	24.0527	23.7059	23.1466	23.8072			-1							#ERROR!	I315R_I315X	11	11	9	29.3	29.3	26.7	69.72	0	29.76	144440000	37	70	0.469348	-0.347735	-1.08395	1.14387	-0.781475	-2.43231	2.48628	0.282	-0.43374	-6.28989	2.48628	-0.43374	-6.28989	P51114	P51114	Fragile X mental retardation syndrome-related protein 1	FXR1	362
23.5229	25.1947	25.0442	24.4458	25.226	22.9081	24.8453	23.5489	22.3043	23.2477			-1							#ERROR!	I315R_I315X	4	4	4	23.5	23.5	23.5	13.373	0	9.4708	212570000	6	47	0.10555	-0.278439	-0.292791	0.819337	-1.56945	-1.76916	1.57665	0.618167	-1.29101	-3.43122	1.57665	-1.29101	-3.43122	P60866	P60866	40S ribosomal protein S20	RPS20	396
25.4881	25.4286	24.9375	25.2693	24.6892	25.324	24.9278	25.114	25.4933	25.2341			-1	#ERROR!	I315I_I315R	#ERROR!	I315I_I315X			#ERROR!	I315R_I315X	5	5	5	42.3	42.3	42.3	17.965	0	22.804	388780000	11	47	1.42985	0.209446	3.07348	2.39307	0.563771	5.93315	1.7099	0.750133	0.354325	3.776	1.7099	0.354325	3.776	P62979;P62987;P0CG47;P0CG48	P62979;P62987;P0CG47;P0CG48	Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-B;Ubiquitin;Polyubiquitin-C;Ubiquitin	RPS27A;UBA52;UBB;UBC	449
23.9156	23.5417	24.2758	23.7436	24.3819	23.4497	23.8536	22.8006	23.0459	23.1925			-1			#ERROR!	I315I_I315X			#ERROR!	I315R_I315X	4	4	4	35.5	35.5	35.5	11.284	0	6.191	136420000	8	40	0.116405	0.100216	0.320148	1.68764	-0.824656	-3.71698	1.36083	0.596093	-0.924872	-2.91252	1.36083	-0.924872	-2.91252	P81605	P81605	Dermcidin;Survival-promoting peptide;DCD-1	DCD	471
19.7358	18.6119	20.193	18.9276	22.2883	19.4047	20.9755	18.9715	19.5406	18.6451			-1			#ERROR!	I315I_I315X			#ERROR!	I315R_I315X	2	2	2	31.8	31.8	31.8	17.17	0	10.317	11612000	9	4	0.477248	0.337674	1.09961	1.3586	-1.96653	-2.90738	1.68797	0.648222	-2.30421	-3.71785	1.68797	-2.30421	-3.71785	P98179	P98179	RNA-binding protein 3	RBM3	479
20.5606	21.1455	22.0363	20.1635	23.0067	21.5203	21.7448	20.4782	21.8531	20.6882			-1	#ERROR!	I315I_I315R					#ERROR!	I315R_I315X	3	3	3	24.1	24.1	24.1	25.177	0	6.1154	31230000	17	13	1.85251	1.06299	4.16889	0.808464	-0.756308	-1.74772	1.94189	0.553818	-1.8193	-4.42891	1.94189	-1.8193	-4.42891	Q00688	Q00688	Peptidyl-prolyl cis-trans isomerase FKBP3	FKBP3	483
20.7835	21.8232	22.0715	21.0831	22.4336	16.6076	21.8854	21.4831	18.2761	21.4935			-1							#ERROR!	I315R_I315X	2	2	2	5.8	5.8	5.8	68.477	0	3.2139	27567000	23	8	0.726862	-2.45092	-1.58765	0.978329	-3.22787	-2.08759	1.68029	0.56019	-0.776955	-3.6976	1.68029	-0.776955	-3.6976	Q01844	Q01844	RNA-binding protein EWS	EWSR1	489
25.902	24.9404	26.0148	24.8398	25.8627	24.5347	25.3303	24.6949	24.6885	24.912			-1			#ERROR!	I315I_I315X			#ERROR!	I315R_I315X	31	31	31	28.8	28.8	28.8	195.46	0	98.298	406000000	89	154	0.282768	-0.0943089	-0.70183	1.88016	-1.01469	-4.24812	1.87693	0.585	-0.920385	-4.23881	1.87693	-0.920385	-4.23881	Q07157	Q07157	Tight junction protein ZO-1	TJP1	505
28.7818	29.1787	29.6507	28.9545	29.8785	28.2528	29.0865	28.8373	28.2528	28.6402			-1							#ERROR!	I315R_I315X	160	160	160	54.2	54.2	54.2	629.09	0	323.31	5527000000	413	1463	0.31694	-0.249269	-0.774225	1.18354	-0.977154	-2.51748	1.34721	0.596273	-0.727885	-2.88125	1.34721	-0.727885	-2.88125	Q09666	Q09666	Neuroblast differentiation-associated protein AHNAK	AHNAK	512
17.4172	24.9144	17.6811	24.1068	19.2729	25.2433	17.1105	24.1022	25.1578	23.6737			-1	#ERROR!	I315I_I315R	#ERROR!	I315I_I315X			#ERROR!	I315R_I315X	10	10	10	42.3	42.3	42.3	44.141	0	133.24	158230000	22	75	2.55645	1.14426	6.5703	3.38359	7.08367	10.8232	3.06657	0.192	5.93942	8.96139	3.06657	5.93942	8.96139	Q12824	Q12824	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1	SMARCB1	516
24.5627	23.9843	24.6332	23.6769	25.4329	21.8533	24.0126	23.2267	21.4209	22.8514			-1							#ERROR!	I315R_I315X	4	4	4	4.4	4.4	4.4	144.75	0	4.2896	167010000	68	9	0.430081	-0.832173	-1.00569	1.19713	-2.27339	-2.5469	1.41226	0.640778	-1.44122	-3.03205	1.41226	-1.44122	-3.03205	Q13045	Q13045	Protein flightless-1 homolog	FLII	522
22.9563	21.8236	21.2878	20.9474	24.1042	21.1682	24.3645	19.3538	20.9947	19.8325			-1							#ERROR!	I315R_I315X	5	5	5	3.1	3.1	3.1	284.54	0	7.5915	62116000	190	11	1.12828	1.28433	2.39914	0.880951	-1.92333	-1.8914	1.37124	0.592476	-3.20765	-2.93651	1.37124	-3.20765	-2.93651	Q13813	Q13813	Spectrin alpha chain, non-erythrocytic 1	SPTAN1	541
20.4782	22.6333	22.3039	20.7383	22.2636	20.0239	20.9635	19.3408	20.5285	19.3714			-1							#ERROR!	I315R_I315X	5	5	5	6.9	6.9	6.9	114.53	0	7.4702	25894000	32	13	0.604801	1.24506	1.34974	0.356734	-0.781754	-0.856885	1.47461	0.570706	-2.02682	-3.18027	1.47461	-2.02682	-3.18027	Q14157	Q14157	Ubiquitin-associated protein 2-like	UBAP2L	545
22.074	22.0737	23.2329	22.3879	22.9648	21.0532	22.7198	22.5464	20.6849	22.121			-1			#ERROR!	I315I_I315X			#ERROR!	I315R_I315X	8	7	7	4.6	4.1	4.1	291.02	0	11.618	53818000	160	23	1.17265	-1.08118	-2.49399	1.74085	-1.70187	-3.85909	1.48738	0.560121	-0.620689	-3.21109	1.48738	-0.620689	-3.21109	Q14315	Q14315	Filamin-C	FLNC	550
18.2535	20.704	20.0054	18.4858	21.5936	17.5251	20.1816	17.348	20.3796	17.908			-1							#ERROR!	I315R_I315X	1	1	1	7	7	7	26.352	0.0029718	2.0239	8478900	4	3	0.696114	1.62234	1.52764	0.396089	-1.05726	-0.937217	1.95321	0.6092	-2.6796	-4.46264	1.95321	-2.6796	-4.46264	Q15125	Q15125	3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase	EBP	569
27.9529	28.5867	28.8371	28.0069	28.7439	26.8795	28.6634	28.4284	26.9114	27.8795			-1							#ERROR!	I315R_I315X	143	143	138	37.8	37.8	36.2	531.78	0	323.31	3144800000	341	1083	0.476773	-0.645734	-1.09867	1.07021	-1.28893	-2.27694	1.68549	0.619158	-0.643199	-3.71131	1.68549	-0.643199	-3.71131	Q15149	Q15149	Plectin	PLEC	570
18.3031	23.7936	23.985	22.6671	23.7189	24.3584	23.5663	22.6493	24.3155	23.4207			-1	#ERROR!	I315I_I315R					#ERROR!	I315R_I315X	15	15	15	13.7	13.7	13.7	197.39	0	30.167	124230000	72	49	1.78533	1.24346	3.98056	0.846612	0.399113	1.82312	1.39545	0.596	-0.844346	-2.99272	1.39545	-0.844346	-2.99272	Q68CP9	Q68CP9	AT-rich interactive domain-containing protein 2	ARID2	620
18.1084	23.8412	22.0485	20.6991	21.5862	23.8117	21.1302	20.5223	23.7145	20.3465			-1	#ERROR!	I315I_I315R	#ERROR!	I315I_I315X			#ERROR!	I315R_I315X	13	13	13	9.8	9.8	9.8	192.95	0	18.597	57840000	100	25	5.13574	3.26653	30.0382	2.92238	2.20085	8.21685	1.70121	0.667294	-1.06569	-3.7529	1.70121	-1.06569	-3.7529	Q86U86	Q86U86	Protein polybromo-1	PBRM1	654
19.959	16.9746	22.1784	19.4213	22.9408	17.3852	22.3118	21.3288	17.8986	19.0438			-1	#ERROR!	I315I_I315R	#ERROR!	I315I_I315X			#ERROR!	I315R_I315X	3	3	3	17.4	17.4	17.4	40.251	0	25.055	22900000	9	12	1.53297	-2.51184	-3.32247	3.84631	-5.05752	-14.209	1.57056	0.577846	-2.54568	-3.41592	1.57056	-2.54568	-3.41592	Q8NFJ5	Q8NFJ5	Retinoic acid-induced protein 3	GPRC5A	689
18.4263	24.7024	22.4637	20.3069	22.4017	24.5411	22.1684	21.1258	24.9459	20.0503			-1	#ERROR!	I315I_I315R	#ERROR!	I315I_I315X			#ERROR!	I315R_I315X	11	10	9	30.7	27.5	25.2	58.92	0	38.721	104740000	29	39	3.59723	4.23548	12.2773	4.06115	2.38523	16.1086	2.27289	0.3845	-1.85025	-5.49811	2.27289	-1.85025	-5.49811	Q92925	Q92925	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2	SMARCD2	719
19.9802	20.2634	20.7938	20.1669	22.0445	20.2469	21.0344	19.9614	21.4365	19.5084			-1							#ERROR!	I315R_I315X	6	5	5	16.8	15.2	15.2	61.64	0	9.075	17611000	37	10	0.811175	0.770029	1.75306	0.512049	-0.64193	-1.16828	1.51807	0.598897	-1.41196	-3.28584	1.51807	-1.41196	-3.28584	Q96I24	Q96I24	Far upstream element-binding protein 3	FUBP3	737
24.236	23.8489	24.8399	23.4616	24.0309	23.3713	23.9976	22.3774	22.6213	22.6679			-1							#ERROR!	I315R_I315X	8	8	8	40.6	40.6	40.6	36.567	0	44.756	139750000	14	48	0.388717	0.444842	0.922262	1.05083	-1.00895	-2.23661	1.57165	0.60096	-1.45379	-3.41864	1.57165	-1.45379	-3.41864	Q96IZ0	Q96IZ0	PRKC apoptosis WT1 regulator protein	PAWR	738
22.6358	23.1065	23.8188	22.2335	23.457	22.1942	22.7226	22.1978	21.3594	22.6341			-1							#ERROR!	I315R_I315X	9	9	8	15.5	15.5	14.3	106.12	0	12.365	72522000	51	25	0.0919892	-0.135082	-0.25803	0.864435	-1.11277	-1.85851	1.30328	0.615234	-0.977687	-2.7815	1.30328	-0.977687	-2.7815	Q9NYF8	Q9NYF8	Bcl-2-associated transcription factor 1	BCLAF1	811
23.3236	21.739	23.2415	21.7011	22.4339	21.5718	22.712	21.0089	19.6587	21.2782			-1							#ERROR!	I315R_I315X	10	10	10	13.1	13.1	13.1	136.38	0	25.564	48459000	91	26	0.185949	-0.339508	-0.487056	1.19872	-1.80593	-2.55034	2.0362	0.612444	-1.46642	-4.71579	2.0362	-1.46642	-4.71579	Q9P2M7	Q9P2M7	Cingulin	CGN	824
18.7498	20.8773	22.1858	21.2106	22.2937	17.9041	22.0079	21.412	18.4647	20.9101			-1			#ERROR!	I315I_I315X			#ERROR!	I315R_I315X	1	1	1	1.5	1.5	1.5	115.84	0	2.9407	23243000	74	3	1.06626	-2.09554	-2.26872	1.54948	-3.08042	-3.36334	2.37462	0.355429	-0.984884	-5.86458	2.37462	-0.984884	-5.86458	Q9UDT6	Q9UDT6	CAP-Gly domain-containing linker protein 2	CLIP2	829
23.3973	24.1013	24.8328	23.7651	24.8237	21.9755	24.6903	23.8922	21.9225	23.6328			-1			#ERROR!	I315I_I315X			#ERROR!	I315R_I315X	13	13	13	43.7	43.7	43.7	57.563	0	109.78	166630000	26	73	0.692352	-1.09692	-1.5203	1.37378	-2.11586	-2.94238	3.49938	0.062	-1.01894	-11.5896	3.49938	-1.01894	-11.5896	Q9Y285	Q9Y285	Phenylalanine--tRNA ligase alpha subunit	FARSA	861
24.2063	23.7254	21.8215	24.33	22.5146	24.0251	20.9925	22.8324	24.4796	23.6932			-1			#ERROR!	I315I_I315X			#ERROR!	I315R_I315X	4	4	4	30.5	30.5	30.5	12.254	0	5.7955	127590000	6	25	0.398663	0.458174	0.942428	2.02464	2.3005	4.6799	1.3906	0.584098	1.84233	2.98142	1.3906	1.84233	2.98142	Q9Y3U8	Q9Y3U8	60S ribosomal protein L36	RPL36	870
25.3529	25.6449	26.9184	26.2506	27.5843	23.822	27.4524	26.4625	23.2213	26.7612			-1	#ERROR!	I315I_I315R	#ERROR!	I315I_I315X			#ERROR!	I315R_I315X	2	2	2	1	1	1	246.35	0.0029895	2.0523	917690000	113	8	1.41649	-2.26198	-3.04199	1.82204	-3.08894	-4.08274	1.51775	0.578933	-0.826956	-3.28505	1.51775	-0.826956	-3.28505	Q9Y6J0	Q9Y6J0	Calcineurin-binding protein cabin-1	CABIN1	883
22.7093	23.1632	21.899	23.1305	21.8721	22.6493	22.1677	23.0493	22.9876	22.7713	#ERROR!		-1			#ERROR!	I315I_I315X			#ERROR!	I315R_I315X	2	2	2	0	0	0	114.76	0.009915	1.8305	68629000	0	5	0.0968711	-0.0503209	-0.270622	2.2333	0.953765	5.36064	2.65285	0.2728	1.00409	6.97302	2.65285	1.00409	6.97302	REV__P16615	REV__P16615			889
26.4568	27.2933	17.906	27.9076	19.0856	25.138	17.3851	26.4641	23.936	26.5223	#ERROR!		-1			#ERROR!	I315I_I315X	#ERROR!	I315R_I315X	#ERROR!	I315R_I315X	1	1	1	0	0	0	58.06	0.0058394	1.9416	750290000	0	2	0.622836	-1.5089	-1.38488	2.57423	7.33022	6.64302	3.67045	0	8.83912	12.8172	3.67045	8.83912	12.8172	REV__Q13884	REV__Q13884			891
21.4382	21.9243	20.1923	21.4962	22.7433	19.7282	21.8306	21.6435	20.5662	20.9861			-1									2	2	2	6.7	6.7	6.7	33.872	0	3.5905	29502000	10	10	0.401764	-0.635757	-0.948701	0.360123	-0.849181	-0.863852	0.099091	0.925027	-0.213424	-0.276319	0.099091	-0.213424	-0.276319	A6NFN3;O43251;Q9NWB1	A6NFN3;O43251;Q9NWB1	RNA binding protein fox-1 homolog 3;RNA binding protein fox-1 homolog 2;RNA binding protein fox-1 homolog 1	RBFOX3;RBFOX2;RBFOX1	2
