"","seqnames","start","end","width","strand","Conc","Conc_WT","Conc_MUTANT","Fold","p.value","FDR"
"101496","chr6",71197230,71197730,501,"*",6.16835790577502,7.01684116214016,3.84204526885976,3.1747958932804,1.08544109985328e-15,1.36327103364939e-12
"85218","chr4",38275264,38275764,501,"*",5.94630197020914,6.89009903564093,2.23631462889095,4.65378440674998,1.15055003810507e-15,1.43077357801007e-12
"61300","chr2",69196356,69196856,501,"*",6.26904823109551,7.09554711353035,4.12741745359464,2.96812965993572,1.16174501415064e-15,1.43077357801007e-12
"107871","chr7",33669276,33669776,501,"*",6.01467818263214,6.91432241125936,3.11922027460079,3.79510213665857,1.18785708748834e-15,1.44660133031994e-12
"112009","chr7",134779277,134779777,501,"*",6.00748573131887,6.89526726672175,3.26735579120457,3.62791147551718,1.19740437425971e-15,1.44660133031994e-12
"69513","chr20",20814635,20815135,501,"*",5.92012271681318,6.836715028986,2.7661775915031,4.0705374374829,1.26755107621114e-15,1.50958258239541e-12
"94541","chr5",113081031,113081531,501,"*",6.11148817533688,6.96687526053396,3.72128758701992,3.24558767351404,1.27333693056719e-15,1.50958258239541e-12
"8279","chr1",168613672,168614172,501,"*",5.99519433277045,6.87938304153778,3.29875747800583,3.58062556353194,1.46488214639847e-15,1.72058546328646e-12
"96369","chr5",149001979,149002479,501,"*",5.92517333429456,6.83939886652572,2.81042428629117,4.02897458023456,1.54104505429317e-15,1.79343713052474e-12
"55649","chr19",28596400,28596900,501,"*",5.96258440311288,6.91582914749682,1.99177589082258,4.92405325667423,1.5666362854384e-15,1.80476206969722e-12
"45509","chr16",72371157,72371657,501,"*",6.30207711769047,7.1208563335479,4.21946904460285,2.90138728894505,1.57923083385671e-15,1.80476206969722e-12
"100892","chr6",45986808,45987308,501,"*",6.00930570673794,6.97009222490782,1.78847056009387,5.18162166481395,1.91282052594749e-15,2.16647419069189e-12
"58209","chr2",15668534,15669034,501,"*",5.9889702837706,6.87905931396632,3.22000459389917,3.65905472006715,1.95994095712398e-15,2.20019849816895e-12
"91926","chr5",56278331,56278831,501,"*",5.896110103492,6.81796078250308,2.65082260040437,4.16713818209871,2.03312393180272e-15,2.2623319034828e-12
"10888","chr1",216182899,216183869,971,"*",6.38300370264518,7.18969661298607,4.38762929833367,2.8020673146524,2.14564210380005e-15,2.36677384479343e-12
"102238","chr6",96300861,96301361,501,"*",5.89143688122105,6.81438561600151,2.62627879283291,4.18810682316861,2.20638408918091e-15,2.38318873062941e-12
"105801","chr7",434830,435330,501,"*",6.07690424675751,6.95068195153467,3.49952550079797,3.4511564507367,2.21240346607772e-15,2.38318873062941e-12
"105772","chr6",169940799,169941299,501,"*",5.89527491666957,6.81037476426768,2.7661775915031,4.04419717276459,2.2276373604811e-15,2.38318873062941e-12
"67589","chr2",222919812,222920312,501,"*",5.92503296808633,6.82601584826868,3.01086298143031,3.81515286683837,2.23567195586116e-15,2.38318873062941e-12
"33111","chr13",59774448,59774948,501,"*",6.47917629189504,7.2660938604078,4.61466334122445,2.65143051918336,2.32587756760706e-15,2.45868517671742e-12
"19811","chr11",13475950,13476450,501,"*",5.94194939237037,6.83621006049046,3.11922027460079,3.71698978588967,2.59795212685381e-15,2.7235985388071e-12
"28370","chr12",68497637,68498137,501,"*",5.88729737245227,6.82474850047417,2.32849723210632,4.49625126836785,2.65518887601207e-15,2.76078704344167e-12
"101064","chr6",52352381,52352881,501,"*",6.5765579064905,7.33882979424007,4.85794373814601,2.48088605609405,2.84661507317424e-15,2.92705972390165e-12
"23524","chr11",95501761,95502261,501,"*",5.93321439813348,6.86744030614172,2.44534916090128,4.42209114524044,2.86125095200552e-15,2.92705972390165e-12
"82437","chr3",168071514,168072014,501,"*",6.09608552654088,6.95230948612463,3.69792328450213,3.25438620162249,2.97604469696112e-15,3.02013777519129e-12
"42379","chr15",88736160,88736660,501,"*",5.87946414452584,6.80986048988191,2.47134273021257,4.33851775966935,3.25683975084046e-15,3.27317529058204e-12
"56219","chr19",41031931,41032431,501,"*",5.92108051916788,6.87424102694858,1.95282700905593,4.92141401789265,3.27699414990634e-15,3.27317529058204e-12
"66131","chr2",191252654,191253154,501,"*",5.86960713501488,6.78858634955463,2.67495583233035,4.11363051722427,3.58087457169843e-15,3.54875860288351e-12
"16521","chr10",91652358,91652858,501,"*",5.9183627335598,6.81353400152244,3.0836054552258,3.72992854629663,3.692616059371e-15,3.63112970824287e-12
"106714","chr7",17600292,17600792,501,"*",6.06892198665131,7.03707101058032,1.55174081969369,5.48533019088663,3.83052058181447e-15,3.73776305264868e-12
"20248","chr11",27796232,27796732,501,"*",6.26637330918651,7.07804551077309,4.23578510112552,2.84226040964757,3.88800279595506e-15,3.76489260055337e-12
"108280","chr7",40986366,40986866,501,"*",5.9105872884432,6.86208699842322,1.99177589082258,4.87031110760063,3.93852139663855e-15,3.78491906216964e-12
"105206","chr6",157187339,157187839,501,"*",5.99311001100075,6.8655460275023,3.43032454615056,3.43522148135174,4.5636403765933e-15,4.35268352670386e-12
"11522","chr1",228809699,228810199,501,"*",5.97562832216279,6.85032993199277,3.38810593455224,3.46222399744053,4.68654921138663e-15,4.43655328778222e-12
"120121","chr9",72554198,72554698,501,"*",5.86432076440246,6.77752282588204,2.7661775915031,4.01134523437894,5.03003514960342e-15,4.69698120169338e-12
"76022","chr3",16476550,16477050,501,"*",6.00389989929586,6.87342403165944,3.4722421307538,3.40118190090564,5.03570651964731e-15,4.69698120169338e-12
"66835","chr2",207258245,207258745,501,"*",6.02384477535917,6.89018165508929,3.52543615426007,3.36474550082921,5.31490281973376e-15,4.92121206196253e-12
"117158","chr8",120815129,120815629,501,"*",5.90832440947949,6.79999568900651,3.11922027460079,3.68077541440573,5.48250959808119e-15,5.03961817054924e-12
"110982","chr7",108088654,108089154,501,"*",5.84823824495755,6.77428364862968,2.52543615426007,4.2488474943696,5.68107069167041e-15,5.18456963582572e-12
"100454","chr6",41226701,41227201,501,"*",5.9511900689309,6.91161172751785,1.74353473138517,5.16807699613268,5.73083742552788e-15,5.19262992216474e-12
"12282","chr1",245969310,245969810,501,"*",5.87390625663319,6.78354462967078,2.83204894033919,3.95149568933159,5.8348504019299e-15,5.24937902968519e-12
"31975","chr13",30743541,30744041,501,"*",5.85883701405439,6.79904753355879,2.23631462889095,4.56273290466784,6.09957494563433e-15,5.3971749374036e-12
"15067","chr10",60914523,60915023,501,"*",5.87861154170087,6.78171499692632,2.93425708125383,3.84745791567249,6.11029070385188e-15,5.3971749374036e-12
"100431","chr6",40997224,40997724,501,"*",6.31890897642861,7.11830376320258,4.37343306081502,2.74487070238756,6.12677128453724e-15,5.3971749374036e-12
"100806","chr6",44730651,44731151,501,"*",6.09529184915717,6.9465653394386,3.74353473138517,3.20303060805343,6.22523396007104e-15,5.44609226415815e-12
"77099","chr3",41176800,41177300,501,"*",5.97045322312545,6.84866814773691,3.3436318892735,3.50503625846341,6.39435878264972e-15,5.55573424860741e-12
"118834","chr9",12784185,12784685,501,"*",5.86662133941209,6.77857449374669,2.78847056009387,3.99010393365282,6.76874456294642e-15,5.80639463160761e-12
"96358","chr5",148912953,148913453,501,"*",5.90954341537488,6.80678072571981,3.04708913566676,3.75969159005305,6.80561441173173e-15,5.80639463160761e-12
"18183","chr10",118798220,118798720,501,"*",5.85101110459181,6.78267460840353,2.41701144106035,4.36566316734318,6.82017469263026e-15,5.80639463160761e-12
"96137","chr5",143087105,143087605,501,"*",5.88985575425988,6.83797191271641,2.06665431846484,4.77131759425158,7.03848030348386e-15,5.95230202305023e-12
"89508","chr4",151989999,151990499,501,"*",5.83854764133442,6.76408153200994,2.52543615426007,4.23864537774986,7.20117956968054e-15,6.04956311770275e-12
"108266","chr7",40808476,40808976,501,"*",5.83684047591935,6.75531938820215,2.65082260040437,4.10449678779779,7.3878689434644e-15,6.16556546852859e-12
"106173","chr7",5625898,5626398,501,"*",6.60041389847798,7.35039915232968,4.94853007887624,2.40186907345344,7.45487278232913e-15,6.18082040643147e-12
"101848","chr6",81895380,81895880,501,"*",6.071794896679,6.91670359928585,3.77736713509811,3.13933646418774,7.57428928586862e-15,6.23905028890264e-12
"96664","chr5",151896036,151896536,501,"*",5.88838995478648,6.798959526561,2.83204894033919,3.96691058622181,7.63257660510855e-15,6.24650069362084e-12
"108267","chr7",40826384,40826884,501,"*",6.04267883390001,6.89695849456941,3.66293967801001,3.23401881655941,7.69624047727923e-15,6.25822754502452e-12
"69268","chr20",12395319,12395819,501,"*",5.8446802741713,6.75806830832749,2.74353473138517,4.01453357694232,7.75820697618284e-15,6.2684335754315e-12
"105040","chr6",154555097,154555597,501,"*",6.62923669385259,7.37187023389437,5.0155955563688,2.35627467752557,8.25991436863847e-15,6.63156112335777e-12
"105088","chr6",155085536,155086036,501,"*",5.94785949719864,6.83990272031065,3.15397703522656,3.68592568508409,8.37909265518667e-15,6.67229724804532e-12
"72369","chr21",29114687,29115187,501,"*",6.15103613455988,6.97856106706218,4.00135100156132,2.97721006550085,8.41585122573748e-15,6.67229724804532e-12
"69231","chr20",11799412,11799912,501,"*",5.96628533086446,6.83755307312826,3.41607692983394,3.42147614329432,9.0824435711856e-15,7.15606293100643e-12
"98784","chr6",10184269,10184769,501,"*",5.8552499343941,6.7705984495463,2.72204395611571,4.0485544934306,9.27134451945865e-15,7.25980614186647e-12
"7968","chr1",162349664,162350164,501,"*",6.21056806963866,7.0375103589207,4.06546282627253,2.97204753264817,9.40665192251545e-15,7.32056815751491e-12
"96516","chr5",150377486,150378378,893,"*",6.24494259639518,7.06270108222034,4.16993808226025,2.8927629999601,9.52460834955388e-15,7.33670458623636e-12
"24288","chr11",114294993,114295493,501,"*",5.82529752815209,6.74310256434091,2.65082260040437,4.09227996393654,9.54306007574968e-15,7.33670458623636e-12
"9148","chr1",183699601,183700101,501,"*",5.91956578575925,6.79999568900651,3.26735579120457,3.53263989780194,9.62764922263301e-15,7.35714794692435e-12
"114272","chr8",41770445,41770945,501,"*",6.04257697510684,6.89050289678162,3.72128758701992,3.1692153097617,1.05498069357104e-14,8.0135575413697e-12
"104856","chr6",150195899,150196399,501,"*",5.88026078690302,6.76972058352802,3.11922027460079,3.65050030892723,1.06227330375942e-14,8.02092221002916e-12
"29100","chr12",92080454,92080954,501,"*",5.83008371376024,6.74256373710522,2.74353473138517,3.99902900572006,1.09874041275402e-14,8.20089287845331e-12
"79435","chr3",99930964,99931464,501,"*",5.92039990105681,6.8102874455667,3.15397703522656,3.65631041034014,1.09903808322854e-14,8.20089287845331e-12
"85848","chr4",54498474,54498974,501,"*",5.87020944495297,6.79465052163437,2.57757444765229,4.21707607398208,1.14442275345938e-14,8.489609071452e-12
"98199","chr6",1481247,1481747,501,"*",5.80737519591411,6.73267674113064,2.49864295450465,4.234033786626,1.20541838692193e-14,8.87407208458454e-12
"113653","chr8",27361824,27362324,501,"*",6.110359655673,6.9449313081601,3.9039477775138,3.0409835306463,1.21024065102097e-14,8.87407208458454e-12
"24807","chr11",126147691,126148191,501,"*",5.86947709374708,6.75948603288989,3.10152276193905,3.65796327095084,1.22618877029962e-14,8.89089560228569e-12
"75408","chr3",5023189,5023689,501,"*",6.80338464365625,7.51389478550395,5.34387760691761,2.17001717858634,1.22655277835588e-14,8.89089560228569e-12
"26527","chr12",42756990,42757490,501,"*",6.16381020234136,6.99407037169283,3.99240297832175,3.00166739337108,1.24987458715761e-14,9.00847108693845e-12
"17894","chr10",113019830,113020330,501,"*",6.36291164069627,7.16343626208676,4.40983917766304,2.75359708442373,1.28552400045653e-14,9.21306726022099e-12
"43908","chr16",20673824,20674324,501,"*",6.32667370451996,7.12181824423947,4.40936966900044,2.71244857523903,1.3047517371982e-14,9.29833524534076e-12
"69229","chr20",11777745,11778245,501,"*",6.02621298294171,6.89534959073669,3.49864295450465,3.39670663623204,1.34686250133265e-14,9.54481575525412e-12
"87384","chr4",101865529,101866029,501,"*",5.99830115148585,6.85431607518904,3.60213213843391,3.25218393675513,1.37652694658968e-14,9.70084423493297e-12
"106919","chr7",20352863,20353363,501,"*",5.85141066487278,6.76099272500459,2.81042428629117,3.95056843871342,1.42950829287141e-14,9.97309611650203e-12
"77098","chr3",41175294,41175794,501,"*",5.8918715543043,6.78502641709716,3.0836054552258,3.70142096187135,1.43088283448694e-14,9.97309611650203e-12
"92026","chr5",57692979,57693479,501,"*",6.21193647860046,7.02511598752892,4.1704923338446,2.85462365368432,1.44347703221563e-14,9.976218800466e-12
"32911","chr13",50244993,50245493,501,"*",5.82742465892162,6.72978663480384,2.89370150264625,3.83608513215758,1.44705976987808e-14,9.976218800466e-12
"113337","chr8",21683751,21684251,501,"*",5.86124969997371,6.75060484207159,3.10152276193905,3.64908208013254,1.52095821741611e-14,1.0429004961928e-11
